position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCjGw10XwPajl878P5YUgo9g,Cedwiig,PEvgemyp5bQ,2025-07-02T19:54:28Z,"2025-07-02 19:54:28","Top 2 DSDS-Lines von Bushido",,,24,Entertainment,"Hip_hop_music,Music",PT30S,30,2d,hd,false,de,de,https://i.ytimg.com/vi/PEvgemyp5bQ/maxresdefault.jpg,,,,,3209,159,,0,13
2,UCjGw10XwPajl878P5YUgo9g,Cedwiig,8ie8c21wtsU,2025-05-09T14:00:19Z,"2025-05-09 14:00:19","Die Besten Waffensounds von Deutschrappern 3 #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT1M58S,118,2d,hd,false,de,de,https://i.ytimg.com/vi/8ie8c21wtsU/maxresdefault.jpg,,,,,126,4,,0,0
3,UCjGw10XwPajl878P5YUgo9g,Cedwiig,3ZWyWLOYd9c,2025-05-07T14:00:12Z,"2025-05-07 14:00:12","Top 15 Katzen-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT2M9S,129,2d,hd,false,de,de,https://i.ytimg.com/vi/3ZWyWLOYd9c/maxresdefault.jpg,,,,,1093,10,,0,0
4,UCjGw10XwPajl878P5YUgo9g,Cedwiig,ZdE9zsIbFXc,2025-05-06T14:01:03Z,"2025-05-06 14:01:03","Top 6 Barhocker-Lines von Farid Bang",,,24,Entertainment,"Hip_hop_music,Music",PT59S,59,2d,hd,false,de,de,https://i.ytimg.com/vi/ZdE9zsIbFXc/maxresdefault.jpg,,,,,4432,176,,0,8
5,UCjGw10XwPajl878P5YUgo9g,Cedwiig,ZBef9ZbZXZA,2025-05-04T14:00:45Z,"2025-05-04 14:00:45","Die Dümmsten Spitts von Deutschrappern 1 #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT2M2S,122,2d,hd,false,de,de,https://i.ytimg.com/vi/ZBef9ZbZXZA/maxresdefault.jpg,,,,,236,1,,0,0
6,UCjGw10XwPajl878P5YUgo9g,Cedwiig,1zR4mvHrZJc,2025-05-02T14:00:03Z,"2025-05-02 14:00:03","Top 15 Mark Forster Diss Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #musik #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M58S,118,2d,hd,false,de,de,https://i.ytimg.com/vi/1zR4mvHrZJc/maxresdefault.jpg,,,,,2077,39,,0,0
7,UCjGw10XwPajl878P5YUgo9g,Cedwiig,gYr9bZEyA1c,2025-04-30T14:01:06Z,"2025-04-30 14:01:06","Die Besten Waffensounds von Deutschrappern 4 #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT2M24S,144,2d,hd,false,de,de,https://i.ytimg.com/vi/gYr9bZEyA1c/maxresdefault.jpg,,,,,62,2,,0,0
8,UCjGw10XwPajl878P5YUgo9g,Cedwiig,551V5Dth8rk,2025-04-27T14:00:06Z,"2025-04-27 14:00:06","Top 10 Arschbacken-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT1M43S,103,2d,hd,false,de,de,https://i.ytimg.com/vi/551V5Dth8rk/maxresdefault.jpg,,,,,990,3,,0,0
9,UCjGw10XwPajl878P5YUgo9g,Cedwiig,lXQVwubPvzA,2025-04-25T14:01:17Z,"2025-04-25 14:01:17","Die Besten Waffensounds von Deutschrappern 2 #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT2M27S,147,2d,hd,false,de,de,https://i.ytimg.com/vi/lXQVwubPvzA/maxresdefault.jpg,,,,,131,5,,0,0
10,UCjGw10XwPajl878P5YUgo9g,Cedwiig,LdiJPBIpLRc,2025-04-23T14:00:35Z,"2025-04-23 14:00:35","Top 7 Lines bei denen Harry Potter auf Helikopter gereimt wird #deutschrap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT48S,48,2d,hd,false,de,de,https://i.ytimg.com/vi/LdiJPBIpLRc/maxresdefault.jpg,,,,,926,3,,0,0
11,UCjGw10XwPajl878P5YUgo9g,Cedwiig,DkecCXDdoik,2025-04-20T14:00:15Z,"2025-04-20 14:00:15","Top 10 Range Rover-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT1M44S,104,2d,hd,false,de,de,https://i.ytimg.com/vi/DkecCXDdoik/maxresdefault.jpg,,,,,1424,9,,0,1
12,UCjGw10XwPajl878P5YUgo9g,Cedwiig,mOYOaiFvHoU,2025-04-18T14:01:11Z,"2025-04-18 14:01:11","Top 10 Kaulquappen-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT1M18S,78,2d,hd,false,de,de,https://i.ytimg.com/vi/mOYOaiFvHoU/maxresdefault.jpg,,,,,1505,12,,0,0
13,UCjGw10XwPajl878P5YUgo9g,Cedwiig,dohRhmrzFqQ,2025-04-16T14:01:07Z,"2025-04-16 14:01:07","Top 10 Kolibri-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT1M12S,72,2d,hd,false,de,de,https://i.ytimg.com/vi/dohRhmrzFqQ/maxresdefault.jpg,,,,,1641,12,,0,0
14,UCjGw10XwPajl878P5YUgo9g,Cedwiig,A_RgkyfrdWE,2025-04-16T13:30:20Z,"2025-04-16 13:30:20","Top 15 Elefanten-Lines von Deutschrappern",,,24,Entertainment,"Hip_hop_music,Music",PT2M42S,162,2d,hd,false,de,de,https://i.ytimg.com/vi/A_RgkyfrdWE/maxresdefault.jpg,,,,,3698,179,,0,36
15,UCjGw10XwPajl878P5YUgo9g,Cedwiig,m4Yfx-buDrQ,2025-04-13T14:00:58Z,"2025-04-13 14:00:58","Top 10 Koikarpfen-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT1M8S,68,2d,hd,false,de,de,https://i.ytimg.com/vi/m4Yfx-buDrQ/maxresdefault.jpg,,,,,281,0,,0,0
16,UCjGw10XwPajl878P5YUgo9g,Cedwiig,XyGtizDel-U,2025-04-11T14:00:48Z,"2025-04-11 14:00:48","Top 8 Kolibri-Lines von 01099 #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music,Pop_music",PT53S,53,2d,hd,false,de,de,https://i.ytimg.com/vi/XyGtizDel-U/maxresdefault.jpg,,,,,219,3,,0,0
17,UCjGw10XwPajl878P5YUgo9g,Cedwiig,-GXWyt8d0xM,2025-04-09T14:00:00Z,"2025-04-09 14:00:00","Top 10 PDiddy-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M44S,104,2d,hd,false,de,de,https://i.ytimg.com/vi/-GXWyt8d0xM/maxresdefault.jpg,,,,,493,4,,0,0
18,UCjGw10XwPajl878P5YUgo9g,Cedwiig,DymPzZS-DJI,2025-04-08T13:30:12Z,"2025-04-08 13:30:12","Top 10 Staubsauger-Lines von Deutschrappern","Danke an @pauloke800 für die Idee!",,24,Entertainment,"Hip_hop_music,Music",PT1M24S,84,2d,hd,false,de,de,https://i.ytimg.com/vi/DymPzZS-DJI/maxresdefault.jpg,,,,,3107,167,,0,24
19,UCjGw10XwPajl878P5YUgo9g,Cedwiig,bOrK9JjUyRs,2025-04-06T14:00:42Z,"2025-04-06 14:00:42","Top 10 Wichse-Lines von Kool Savas #deutschrap #rap #hiphop #rapper #memes #musik",,,24,Entertainment,"Hip_hop_music,Music",PT1M26S,86,2d,hd,false,de,de,https://i.ytimg.com/vi/bOrK9JjUyRs/maxresdefault.jpg,,,,,38,1,,0,0
20,UCjGw10XwPajl878P5YUgo9g,Cedwiig,MX4MPhtsBl4,2025-04-04T14:00:31Z,"2025-04-04 14:00:31","Top 10 Gurken-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M40S,100,2d,hd,false,de,de,https://i.ytimg.com/vi/MX4MPhtsBl4/maxresdefault.jpg,,,,,705,7,,0,0
21,UCjGw10XwPajl878P5YUgo9g,Cedwiig,m2GKHKEsX9E,2025-04-02T14:01:03Z,"2025-04-02 14:01:03","Top 10 Aids-Lines von Money Boy #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M50S,110,2d,hd,false,de,de,https://i.ytimg.com/vi/m2GKHKEsX9E/maxresdefault.jpg,,,,,1388,37,,0,2
22,UCjGw10XwPajl878P5YUgo9g,Cedwiig,poRQ1aPKnys,2025-04-02T13:01:15Z,"2025-04-02 13:01:15","Die Dümmsten Spitts von Deutschrappern #3",,,24,Entertainment,"Hip_hop_music,Music",PT2M42S,162,2d,hd,false,de,de,https://i.ytimg.com/vi/poRQ1aPKnys/maxresdefault.jpg,,,,,9925,400,,0,82
23,UCjGw10XwPajl878P5YUgo9g,Cedwiig,dXVCVudUNhk,2025-04-01T12:31:03Z,"2025-04-01 12:31:03","Top 1 Bentley-Scheibenwischer-Sounds von Deutschrappern",,,24,Entertainment,"Hip_hop_music,Music",PT19S,19,2d,hd,false,de,de,https://i.ytimg.com/vi/dXVCVudUNhk/maxresdefault.jpg,,,,,7210,531,,0,21
24,UCjGw10XwPajl878P5YUgo9g,Cedwiig,vcsKdlvqy8I,2025-03-30T14:01:04Z,"2025-03-30 14:01:04","Top 10 Lines in denen Halloween auf Menowin gereimt wird #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M13S,73,2d,hd,false,de,de,https://i.ytimg.com/vi/vcsKdlvqy8I/maxresdefault.jpg,,,,,237,3,,0,0
25,UCjGw10XwPajl878P5YUgo9g,Cedwiig,ScyR9f9IBqE,2025-03-28T15:00:41Z,"2025-03-28 15:00:41","Top 10 Darm-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M40S,100,2d,hd,false,de,de,https://i.ytimg.com/vi/ScyR9f9IBqE/maxresdefault.jpg,,,,,45,1,,0,0
26,UCjGw10XwPajl878P5YUgo9g,Cedwiig,nwkIRvFDLh8,2025-03-26T16:35:01Z,"2025-03-26 16:35:01","Top 10 Alice Weidel (Diss-)Lines",,,24,Entertainment,"Entertainment,Hip_hop_music",PT1M42S,102,2d,hd,false,de,de,https://i.ytimg.com/vi/nwkIRvFDLh8/maxresdefault.jpg,,,,,5725,380,,0,58
27,UCjGw10XwPajl878P5YUgo9g,Cedwiig,Si0h5MpeTPA,2025-03-26T15:00:40Z,"2025-03-26 15:00:40","Top 10 Giraffen-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M33S,93,2d,hd,false,de,de,https://i.ytimg.com/vi/Si0h5MpeTPA/maxresdefault.jpg,,,,,389,4,,0,1
28,UCjGw10XwPajl878P5YUgo9g,Cedwiig,n-I8QKc3U9E,2025-03-23T15:00:58Z,"2025-03-23 15:00:58","Top 10 Sektglas-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M27S,87,2d,hd,false,de,de,https://i.ytimg.com/vi/n-I8QKc3U9E/maxresdefault.jpg,,,,,505,15,,0,0
29,UCjGw10XwPajl878P5YUgo9g,Cedwiig,xp7gFqdjoy4,2025-03-21T15:01:23Z,"2025-03-21 15:01:23","Top 10 Pisse-Lines von Kool Savas #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M18S,78,2d,hd,false,de,de,https://i.ytimg.com/vi/xp7gFqdjoy4/maxresdefault.jpg,,,,,549,7,,0,1
30,UCjGw10XwPajl878P5YUgo9g,Cedwiig,GTS8ERKMffg,2025-03-19T15:00:30Z,"2025-03-19 15:00:30","Top 10 Fisch-Lines von Money Boy #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT2M7S,127,2d,hd,false,de,de,https://i.ytimg.com/vi/GTS8ERKMffg/maxresdefault.jpg,,,,,685,39,,0,0
31,UCjGw10XwPajl878P5YUgo9g,Cedwiig,I9SOUKxnXTs,2025-03-18T14:30:09Z,"2025-03-18 14:30:09","Top 15 Brötchen-Lines von Deutschrappern",,,24,Entertainment,"Hip_hop_music,Music",PT2M43S,163,2d,hd,false,de,de,https://i.ytimg.com/vi/I9SOUKxnXTs/maxresdefault.jpg,,,,,5030,228,,0,28
32,UCjGw10XwPajl878P5YUgo9g,Cedwiig,RFCVg_lua4E,2025-03-16T15:00:28Z,"2025-03-16 15:00:28","Top 10 Terroristen Lines von Kurdo #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M30S,90,2d,hd,false,de,de,https://i.ytimg.com/vi/RFCVg_lua4E/maxresdefault.jpg,,,,,929,20,,0,3
33,UCjGw10XwPajl878P5YUgo9g,Cedwiig,I9Yx4EKbVvI,2025-03-14T15:00:22Z,"2025-03-14 15:00:22","Top 10 Nikolaus-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M50S,110,2d,hd,false,de,de,https://i.ytimg.com/vi/I9Yx4EKbVvI/maxresdefault.jpg,,,,,97,4,,0,0
34,UCjGw10XwPajl878P5YUgo9g,Cedwiig,WPi-dr97O5E,2025-03-12T15:00:42Z,"2025-03-12 15:00:42","Top 15 Weihnachtsmann-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Independent_music,Music",PT2M38S,158,2d,hd,false,de,de,https://i.ytimg.com/vi/WPi-dr97O5E/maxresdefault.jpg,,,,,392,12,,0,0
35,UCjGw10XwPajl878P5YUgo9g,Cedwiig,YGwyxL4LwNU,2025-03-11T14:30:15Z,"2025-03-11 14:30:15","Die Dümmsten Geldzählmaschinensounds von Deutschrappern","@stullemitbot hat sich die Geldzählmaschinen-Lines gewünscht und dadurch ist dieses Video entstanden - Vielen Dank!",,24,Entertainment,"Hip_hop_music,Music",PT2M21S,141,2d,hd,false,de,de,https://i.ytimg.com/vi/YGwyxL4LwNU/maxresdefault.jpg,,,,,7266,362,,0,43
36,UCjGw10XwPajl878P5YUgo9g,Cedwiig,TSGkd9V2Bt8,2025-03-09T15:00:29Z,"2025-03-09 15:00:29","Top 10 Aal-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M33S,93,2d,hd,false,de,de,https://i.ytimg.com/vi/TSGkd9V2Bt8/maxresdefault.jpg,,,,,514,12,,0,0
37,UCjGw10XwPajl878P5YUgo9g,Cedwiig,W-YzCh2Kh1w,2025-03-07T15:00:44Z,"2025-03-07 15:00:44","Top 10 Kuhfladen-Lines von Deutschrappern #deutschrap #rap #hiphop #rapper #memes",,,24,Entertainment,"Hip_hop_music,Music",PT1M43S,103,2d,hd,false,de,de,https://i.ytimg.com/vi/W-YzCh2Kh1w/maxresdefault.jpg,,,,,348,7,,0,0
