position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,XiiXhGhxHCg,2026-01-23T17:30:20Z,"2026-01-23 17:30:20","Baba Saad: Mit Doppelmoral zum Erfolg","Heute geht es um die Wiedergeburt von Baba Saad. In Teil 1 ging es um den Aufstieg und Fall von Baba Saad bzw den Absturz von Saad nachdem er Rapper wie Punch Arogunz Twizzy JuliensBlog Toony Cashmo Julien Boss uvm bedroht und unterdrückt so Vorwürfe. Dann aber mit Animus Jean und Solé bei Bushido EGJ und dann aber zu Fler Rooz Marvin California PA Sports Olexesh Eko Fresh Massiv und Kool Savas gewechselt. Zu Teil 1: https://youtu.be/g6-0g50R92g?si=Q0smeJvVikQBRDUA Kapitel: 00:00 Der Absturz von Baba Saad 1:50 Saad bei Bushido und EGJ 7:00 Comeback bei Arafat und Hallo Bu Disstrack 7:58 Comeback mit Fler 9:32 Doppelmoral von Saad? (PA, Yakary, Lacazette, Marvin, Animus) Zu Saad: https://www.youtube.com/@BabaSaad Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss?sub_confirmation=1","Saad,Baba,Baba Saad,Fler,Bushido,EGJ,CCN,Album,Leak,Arafat,Hallo Bu,Disstrack,Libanossi,Podcast,Livestream,Marvin,Rooz,Marvin California,Samra,Sadiq,Twizzy,Cashisclay,Punch,Arogunz,Yakary,Animus,Pa Sports,Beef,Manuellsen,Absturz,Aufstieg,Fall,Massiv,Eko Fresh,HipHop,Mr Rap,Rapschau,Nie ein Rapper,Tour,Halunkenbande,Interview,Erstguterjunge,Du Maroc,Kay One,Klartext,Shisha,Tabak",24,Entertainment,"Hip_hop_music,Music",PT12M49S,769,2d,hd,false,de,de,https://i.ytimg.com/vi/XiiXhGhxHCg/maxresdefault.jpg,1,,,,26253,1195,,0,209
2,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,jClN1xnIqLw,2025-12-14T17:30:25Z,"2025-12-14 17:30:25","3 Rapper, die GECANCELT wurden","Mit einem Klick kannst du den Kanal kostenlos unterstützen (FreeCash): https://freecash.com/c/1660a7 Im Deutschrap gab es einige Skandale (Kollegah Farid Bang JBG3 Echo Skandal; Eno bei den Hype Awards; Sinan-G Video), manchmal zurecht, manchmal Cancel Culture. Loredana hat Petra Z. gescammed, Boykott Loredana Mozzik und Bushido distanzierten sich. Jamule sorgte für Kritik von Nura, Manuellsen, Reezy, Kwam.e, und Eunique, zuvor mit Kitschkrieg und Luciano, Summer Cem und Cro erfolgreich. Samra hatte Nika Irani Skandal und Beef mit Shirin David, nachdem mit Capital Bra und Bushido Rekorde gebrochen hat. Dann Universal Probleme Loredana: https://www.youtube.com/@UC5i2bJMC3kyDn1v99vq8sDQ Jamule: https://www.youtube.com/@UC7luMWZPijQnFSGpftqFJPg Samra: https://www.youtube.com/@UCXZexl0S9pgKzRT4gGUSBpA Hilfetelefonnummer: 116 016 Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss?sub_confirmation=1 PS: Der Solmecke Clip ist aus einem Tomatolix Video - der ist nicht in Bezug auf Loredana entstanden","Loredana,Boykott,Hashtag,Skandal,Shitstorm,Cancel Culture,cancelled,gecancelt,Petra,Petra Z,Deutschrap,Jamule,Life Is Pain,Pa Sports,Video,Leak,Samra,Nika Irani,Doku,Geschichte,Geschichten,Mozzik,Bushido,Capital Bra,Manuellsen,Nura,Eunique,Shirin,Shirin David,Luciano,Cro,Summer Cem,Rooz,Marvin California,Mr Rap,Deutschrap Ideal,Betrug,Yakary",24,Entertainment,"Hip_hop_music,Music",PT16M39S,999,2d,hd,false,de,de,https://i.ytimg.com/vi/jClN1xnIqLw/maxresdefault.jpg,1,,,,20302,893,,0,159
3,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,mUe3vWTO1VM,2025-11-16T17:15:03Z,"2025-11-16 17:15:03","Der Aufstieg und Fall von Manuellsen","Manuellsen hat mehrmals Aufstieg und Fall Biografie erlebt im Deutschrap Bushido Beef Bandidos versus Hells Angels Drama mit Animus und Azad Studiofight. Reactions auf TikTok Ausraster im Ruhrpott König im Schatten Karriereende MySpace. Emanuel Twellmann Kreuzberg Kindheit Rassismus Skandale Nice oder Scheiß Mois Sinan G Streaming Cringe Kontroversen Musikindustrie Labelchaos Deluxe Records Booya Eurorap. Rapinterviews Viral Meme Kultur NRW Verbot Ansagen Szenelegenden Eko Fresh PA Sports KC Rebell Samy Deluxe Ghostwriting Vorwürfe Gossip Deutschrapgeschichte. Skandale Livestreams Boxkampf nit Bözemann Beef Memeclips Karriere Absturz Comeback Hoffnung Fans Kommentare Analyse Unterhaltungshype. Kapitel: 00:00 Kindheit 02:51 Eko Fresh, Shrazy Records, Samy Deluxe & Karriereende 07:45 Interviews, Bushido Beef, Animus und Azad Beef 11:57 Streams mit Mois (Nice or Scheiss) und Sinan-G 13:21 Tiktok Ausraster, Memes, Willi Wills Wissen, Bözemann Boxkamof Zu Manuellsen: https://www.youtube.com/channel/UCTDTPAm7hgy25Xklg9Yf7eQ Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss?sub_confirmation=1","Manuellsen,Biografie,Deutschrap,Ruhrpott,Kreuzberg,Eurorap,Booya Records,Deluxe Records,König im Schatten,Bandidos,Hells Angels,Bushido,Animus,Azad,Sinan G,Mois,TikTok Ausraster,Labeldrama,Rapbeef,Downfall,Karriereende,Reaction,Memes,Influencer Beef,Samy Deluxe,Eko Fresh,Kc Rebell,PA Sports,SAW,Jihad,Fler,Beef,Aufstieg,Fall,Mr Rap,Rapstories,Disstrack,Meme,Livestream,Soufian,Barello,Marvin California,Rooz,Waslos,Interview,NRW,Verbot,Skandal,Backpfeife,Nadja,Valezka",24,Entertainment,"Entertainment,Hip_hop_music",PT17M15S,1035,2d,hd,false,de,de-DE,https://i.ytimg.com/vi/mUe3vWTO1VM/maxresdefault.jpg,1,,,,127831,4078,,0,842
4,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,IQ4F55XAHZA,2025-10-10T16:30:06Z,"2025-10-10 16:30:06","Der Aufstieg und Fall von HAFTBEFEHL","Haftbefehl hat mit Azzlackz ein Imperium mit Celo & Abdi, Capo, Hanybal, Veysel, Nimo, Olexesh, Dú Maroc, Soufian und vielen mehr eröffnet. Er hatte Beef mit JuliensBlog, Pa Sports und Jan Böhmermann mit Polizistensohn und auch ein geplantes CCN3 mit Bushido, so Arafat. Allerdings er Skandale, zuletzt Baklava Laden mit seinem Auto. Nun kommt Netflix Doku. Hits sind Chabos Wissen Wer der Babo ist, 069, RADW, Lass die Affen aus dem Zoo, Ich rolle mit meinen Besten. Bei AggroTv Exclusives Leak Haftbefehl: https://youtube.com/@HaftbefehlTV?si=U5qRF9kA61bEKjBj Bazzazian: https://youtube.com/@BazzazianOfficial?si=flPJpoo0X8Vkq3Lx Envee: https://youtube.com/@envee_hiphop?si=HKkVUcKMivDVg4aN Kapitel: 00:00 Kindheit und Flucht 04:12 Rückkehr nach Deutschland & Signing bei Echte Musik 06:04 Sein Alleinstellungsmerkmal 08:51 Durchbruch: Chabos Wissen Wer der Babo ist 12:53 Das Azzlack Imperium 14:26 Comeback 15:46 Skandale 18:39 Fazit Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss?sub_confirmation=1","Haftbefehl,Leak,Celo,Abdi,Azzlackz,Netflix,Doku,Du maroc,Hanybal,Veysel,Capo,Juliensblog,Meme,Marvin California,Pa Sports,069,Chabos,Babos,Jugendwort,Skandal,Baklava,Baklavaladen,Mannheim,Album,Russisch Roulette,Mr Rap,Rooz,RoozWorld,Olexesh,Nimo,Ufo361,Xatar,Alles oder Nix,Ssio,Offenbach,Frankfurt,Jonesmann,Bushido,CCN,Arafat,Abouchaker,Klartext,Sido,2010,Beef,Kollegah,Farid,Bang,Lachgas,Chabos wissen wer der babo ist,sonnenbrille,Shindy,Interview,Backspin,Juice,Hiphop,Deutschrap",24,Entertainment,"Hip_hop_music,Music",PT19M19S,1159,2d,hd,false,de,de,https://i.ytimg.com/vi/IQ4F55XAHZA/maxresdefault.jpg,1,,,,149842,3021,,0,545
5,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,adyMYe0v33g,2025-06-30T15:30:01Z,"2025-06-30 15:30:01","Der Aufstieg und Fall von Lil Lano","Lil Lano hat nach seinen YouTube Beefs mit ApoRed, KSFreak, ABK und vielen mehr mit Trap Songs wie Stone Island, Wendy oder Para Illegal mit King Khalil oder anderen Singles mit Edo Saya und Sami Delarue von Rap La Rue Aufstieg und Fall. Erwähnte Kanäle: Lil Lano: https://www.youtube.com/@LilLano Lil Lano2: https://www.youtube.com/@ANANASKOPFI Ericson Cusoe: https://www.youtube.com/@EriksonCrusoe Kapitel: 00:00 Kindheit und YouTube Ära 03:47 Durchbruch (Para Illegal, Stone Island, Wendy) 5:30 Probleme mit der Musikindustrie und Psyche 7:01 Absturz Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss?sub_confirmation=1","Lil Lano,Trippie,Boi,ApoRed,Apo,Apo Red,Lano,Alec,Valestra,Absturz,Aufstieg,Fall,King Khalil,Negativ Og,Edo,Saya,ABK,Sami,Delarue,DelarueTV,Team Kuku,Stone Island,Para Illegal,Wendy,Brokkoli,Ananas,Squad,Reaktion,alte Videos,Altana Banana,KuchenTV,Marvin California,Falschen Supreme,Unge,Justin,JSTN,Peso,Beef,Mahan,Wie viel ist dein Outfit wert,ich bin so reich,reupload,alte videos,Karriere,Biografie,früher,Doku,Story,Lil Lano Karriere,Deutschrap,Analyse,Geschichte",24,Entertainment,"Hip_hop_music,Music",PT11M56S,716,2d,hd,false,de,de,https://i.ytimg.com/vi/adyMYe0v33g/maxresdefault.jpg,1,,,,64871,2145,,0,150
6,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,WhNzfFAEYBU,2025-05-23T16:30:12Z,"2025-05-23 16:30:12","FLER vs KOLLEGAH - 10 Jahre Beef in 19 Minuten","🚢 Zu World of Warships: https://wo.ws/43Z7Txp   🔥 Kollegah und Fler führten einen der größten Beefs der Deutschrapgeschichte. Bushido, Farid Bang, Silla und Eko Fresh mischten sich ein und mit Fanpost 2, Vibe, JBG, Public Enemies gab es einige Meilensteine. Kapitel: 00:00 Kollegah vs. Fler 01:37 Disstracks: Westdeutsche Kings, Früher wart ihr Fans 03:25 Kollegah - Fanpost 04:46 Fler - Schrei nach Liebe 05:29 Gestürmte Konzerte & Hausbesuch in der Billy-Wilder-Promenade 10:17 Episches Interview 11:19 Aufeinandertreffen am Alexanderplatz 13:31 Kollegah - Fanpost 2 17:20 Die Folgen des Disstracks Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss?sub_confirmation=1","Fler,Kollegah,Farid,Bang,Karotte,Hausvesuch,Billy Wilder,Billy Wilder Promenade,Konzert,Silla,Fanpost,Fanpost 2,Reupload,Leak,Trailer,Flop,Vibe,Frank White,Kitty Kat,Jalil,Sentino,Backspin,Episches Interview,Bushido,Eko Fresh,Interview,Marvin California,Felix Blume,Knossi,Saad,Libanossi,Disstrack,Diss,Beef,Aggro Berlin,Selfmade Records,Reality Check,Favorite,Skandal,Maskulin,Felix Exposed,Deutschrap,Schrei nach Liebe,Früher wart ihr Fans,Westdeutsche Kings",24,Entertainment,"Hip_hop_music,Music",PT18M57S,1137,2d,hd,false,de,de-DE,https://i.ytimg.com/vi/WhNzfFAEYBU/maxresdefault.jpg,1,,,,95146,3162,,0,410
7,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,cZyAOp5sA9E,2024-11-29T17:30:09Z,"2024-11-29 17:30:09","Der Aufstieg und Fall von SXTN","🥤 ZUR HOLY BLACKWEEK: https://de.weareholy.com/discount/DESTALKS5?ref=destalks ""DESTALKS"" = 5€ Rabatt auf die erste Bestellung ""DESTALKS10"" = 10% Rabatt auf jede Bestellung 🔥 Juju und Nura (SXTN) haben sich 2018 getrennt. Sie haben den Weg für Female Rap in Deutschland (Shirin David, Rua, Badmomzjay, Katja Krasavice) geebnet und daher einen großen Impact auf Deutschrap gehabt. Was machen die beiden in 2024? Und warum kam es damals zur Trennung von Juju und Nura. Gab es Streit oder Beef bei SXTN? Zu Adlersson:https://www.youtube.com/@AdlerssonReview Zu PULS: https://www.youtube.com/@pulsmusikanalyse Kapitel: 00:00 Kindheit/Jugend von Juju und Nura 03:38 Beef 04:40 Aufstieg von SXTN 07:56 Trennung von SXTN 09:17 Juju und Nura nach dem Streit Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss?sub_confirmation=1 Songs wie von Party zu Party, FTZN IM CLUB, Deine Mutter, Ich bin schwarz, Made 4 Love, DIE FTZN SIND WIEDER DA, Wir sind friedlich sind nur einige SXTN von Juju und Nura","SXTN,JUJU,Nura,Krutsch,Marvin California,Mr Rap,Trennung,Beef,Streit,Leak,Farid Bang,Achtvier,Bausa,Loredana,Katja Krasavice,Shirin David,Splash,Visa Vi,Interview,Adlersson,PULS,Chaya,Trettmann,Leben am Limit,Bling Bling,Assozialisierungsprogramm,habibi,Auf der Suche",24,Entertainment,"Entertainment,Hip_hop_music",PT13M28S,808,2d,hd,false,de,de-DE,https://i.ytimg.com/vi/cZyAOp5sA9E/maxresdefault.jpg,1,,,,150797,4787,,0,536
8,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,U_ecU2USSQU,2024-11-08T17:30:08Z,"2024-11-08 17:30:08","SCAMS bei Boxinhalten","Heute geht es erneut um die schlechtesten Boxinhalte im Deutschrap 🔥 Die schlechtesten Boxinhalte im Deutschrap wurden hier bereits behandelt. Shindy, Summer Cem, Cro uvm wurden behandelt; hier geht es um Shindy, Bushido, Jamule, Haftbefehl, KC Rebell und Adlersson. 🥤 10% Rabatt mit Code 'Destalks': https://de.weareholy.com/ ❤️ PATREON: huch Link zu Marcos Statement damals: https://youtu.be/aX4p8p-oiis?si=i7_AsHLX6BgJxASI Electro Ghetto Podcast Statement: https://open.spotify.com/episode/03fzCFEDgUhecOezoCNn2z?si=acbbb24fccaf450a Bushidos letzte Boxen (Mythos, Black Friday, Sonny Black 2, König für Immmer) standen stark in der Kritik und ihr habt euch ein Video zu diesem gewünscht - Stichwort Wohnzimmerkonzert, Rolex Gewinnspiel, kaputte Goldawards und grauenhafte Hoodies und Pullover. Sein EGJ Signing Shindy hat mit Dreams ebenfalls viel Krtik eingefahren und eine Welle an schlechten Deluxeboxen im Deutschrap losgetreten. Kapitel: 00:00 Shindy - Dreams 01:36 Jamule - Magic 02:24 Haftbefehl - Blockplatin 02:59 KC Rebell - Rebel Army 04:00 Bushido - Sonny Black 2 04:38 Bushido - König für Immer 05:59 Bushido - Black Friday (Wohnzimmerkonzert) Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss","Bushido,Black Friday,Sonny Black,SB2,König für immer,Shindy,Dreams,Jamule,Magic,Marvin California,Haftbefehl,Blockplatin,385ideal,Deutschrap,Ideal,KC Rebell,Absturz,Reaction,Hasso,Rebel Army,Scam,Boxinhalte,Deluxeboxen,Pullover,Crypto,Hoodie,Review,Adlersson,Wohnzimmerkonzert,Konzert,Wohnzimmer,Gold Award,Gold,Award,Rolex,Capital Bra,Fler,AbuIntellektueller,Rooz,RoozWorld,Arafat,Sneaker,Schlafanzug,Farid Bang",24,Entertainment,"Hip_hop_music,Music",PT8M33S,513,2d,hd,false,de,de-DE,https://i.ytimg.com/vi/U_ecU2USSQU/maxresdefault.jpg,1,,,,92351,2722,,0,279
9,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,g6-0g50R92g,2024-10-11T16:30:10Z,"2024-10-11 16:30:10","Baba Saad: Der größte Betrüger der Rapszene","🔥 Baba Saad soll nach seiner Zeit bei Bushido (EGJ) Punch Arogunz, Twizzy, Kay One, Haftbefehl, Sadiq, Dú Maroc und viele weitere Künstler bedroht und betrogen haben 🥤 10% Rabatt mit Code 'Destalks': https://de.weareholy.com/ Baba Saad oder Saad gilt als der größte Betrüger im Deutschrap. Nun steht CCN5 mit Fler an, was von Rooz und Arafat in Waslos und Klartext promoted wird. Dieses Video behandelt Saad Zeit bei EGJ und Bushido und die Auseinandersetzungen mit Fler, Kay One, Haftbefehl, Twizzy, Punch Arogunz, Sadiq, Cashmo, Twizzy, Julien Boss aka Juliensblog, Marvin California uvm. Fle & Saad - Nie wie Sie Kapitel: 00:00 Kindheit und Start bei EGJ (CCN) 02:52 Beef mit Bushido, Fler & Kay One 05:53 Gründung der Halunkenbade mit Sadiq und Dú Maroc 07:08 Der Angriff auf Elmo mithilfe von Tooney und Cashmo 09:25 Signing von Battlerap-Stars // Freundschaft mit JuliensBlog 12:22 Lügen, Intrigen & Manipulation 13:35 Beef mit Punch Arogunz, Twizzy & EstA 17:10 Der Absturz von Baba Saad Geschaeftsanfragen: des.tin@icloud.com Lasst ein Abo da: https://www.youtube.com/@destalkss?sub_confirmation=1","Baba Saad,Saad,Klartext,Fler,CCN,CCNV,CCN5,Twizzy,Punch Arogunz,Marvin California,Bushido,Kay One,Jim Knopf,Sadiq,Du Maroc,DÚ MAROC,Gerichtsprozess,Trailer,EstA,2Bough,CCN2,Nie Ein Rapper,EGJ,Ersguterjunge,Cashmo,JoKa,Elmo,AMYF,Libanon,Halunkenbande,Rooz,JuliensBlog,JBB,Attitude,Gecko,Cashisclay,Statement,Animus,Abou-Chaker,Interview,Samra,SprichKLARTEXT,Waslos,Arafat,16Bars",24,Entertainment,"Hip_hop_music,Music",PT18M41S,1121,2d,hd,false,de,de,https://i.ytimg.com/vi/g6-0g50R92g/maxresdefault.jpg,1,,,,359715,6720,,0,1175
10,UC1qgO95xhCM5BdgRG4uDjSg,DesTalks,CCjJVSx33QM,2024-08-30T16:30:05Z,"2024-08-30 16:30:05","3 Rapper, die ihre eigene Karriere zerstört haben #8","3 Rapper, die ihre eigene Karriere zerstört haben Teil 8 ❌ Spart 5€ mit 'DesTalks5' und 10% mit 'DesTalks bei: https://weareholy.com/destalks ❌ Mein Instagram: https://www.instagram.com/deeestin/?h... ------------------------------------------------ Kapitel: 00:00 - 00:20 3 Rapper, die ihre eigene Karriere zerstört haben #8 00:21 - 04:53 Aufstieg und Fall von Jindo109 04:54 - 09:37 Aufstieg und Fall von Majoe 09:38 - 14:15 Aufstieg und Fall von Fero47 -------- Nicht beachten (SPOILER ALERT) Jindo und Herr Kuchen waren Paar und Disstrack Jana Beef von Mr Rap behandelt und Interviews bei TV Straßensound. Majoe und Jasko bei Banger Musik von Farid Bang und Kollegah aber Fero47 war wie Mero, Eno, Sero El Mero mit Puerto Rico Jaja Nenene und Ghettosuperstar. Favorite Karate Andi und Hollywood Hank mit Jindo und 'King Orgasmus One'.","Skandal,Jindo,Herr Kuchen,KuchenTV,Mr Rap,Female Rapper,Instagram,Majoe,Kollegah,Farid Bang,Breiter,Türsteher,BA2T,BA3T,Banger,Banger Musik,BangerChannel,JBB,DLTLLY,Reaction,Fero47,Mero,Eno,Sero El Mero,Puerto Rico,Jaja,Nenene,DPD,Majoephono,Karriere,Absturz,Aufstieg,Fall,Disstrack,Jana,Interview,Deutschrap,Soufian,Marvin California,Rooz,Fler,Manuellsen,One-Hit Wonder,Herr Kuchen Interview,Kurdo,Stresserblick,King Orgi,Karriereende,Beef,Jindo vs Herr Kuchen,Jasko,Favorite",24,Entertainment,"Entertainment,Hip_hop_music",PT14M15S,855,2d,hd,false,de,de-DE,https://i.ytimg.com/vi/CCjJVSx33QM/maxresdefault.jpg,1,,,,67237,1949,,0,292
