position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",7TbDkUVLxxY,2026-02-11T16:35:28Z,"2026-02-11 16:35:28","Audio88 & Yassin - ICH ENTSCHULDIGE MICH NICHT | REACTION","Originalvideo: https://www.youtube.com/watch?v=cCY56pwrYHc 🦁 Löwenanteil hier probieren und mit dem Code ➡️ JIGGY ⬅️ sparen: https://ins.deals/LoeweJiggy 🙌🏻* ⚡ HOLY Energy hier probieren: https://www.weareholy.com/jayjiggy/yt und mit dem Code ➡️ JAYJIGGY ⬅️ 10% sparen! 💪🏻* JAY JIGGY auf Spotify: https://open.spotify.com/intl-de/artist/5FBdc4gwnj1x36cY9mlvUO?si=Qu7U8P1xRR-GhwsyMDxYnw RAPPEN lernen im GRÖßTEN DEUTSCHRAP-TUTORIAL: https://rap-tutorial.de/kaufen/ JAY JIGGY auf Twitch: https://www.twitch.tv/jayzumjiggy JIGGY REACTION 2025 Playlist: https://youtube.com/playlist?list=PL8060NNNgBIcc2I5BWOBwDCl7hl-hCj3t&si=901lI_Okk1Pk42KN JAY JIGGY auf Instagram: @jay.jiggy JAY JIGGY auf TikTok: @jayzumjiggy *Kommt über diesen Link ein Einkauf zustande, bekomme ich eine Provision. Für euch entstehen dabei natürlich KEINE Mehrkosten! Audio88 & Yassin - ICH ENTSCHULDIGE MICH NICHT | REACTION","jay jiggy,jay jiggy reaction,jiggy reaction,Audio88 & Yassin - ICH ENTSCHULDIGE MICH NICHT | REACTION,jiggy reaction 2026,audio88 und yassin,audio88 & yassin,audio88 yassin reaction,audio88 yassin,morlockk dilemma,ich entschuldige mich nicht,audio88 ich entschuldige mich nicht",10,Music,"Hip_hop_music,Music",PT16M13S,973,2d,hd,false,de,de,https://i.ytimg.com/vi/7TbDkUVLxxY/maxresdefault.jpg,1,,,,929,114,,0,14
2,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",R3rEXKo04f4,2026-02-10T16:30:11Z,"2026-02-10 16:30:11","YAKO OK - 40 BARS | REACTION","Originalvideo: https://youtu.be/sJWAp0ZBvgU?si=x7ld1OawLpcVI-jq 🦁 Löwenanteil hier probieren und mit dem Code ➡️ JIGGY ⬅️ sparen: https://ins.deals/LoeweJiggy 🙌🏻* ⚡ HOLY Energy hier probieren: https://www.weareholy.com/jayjiggy/yt und mit dem Code ➡️ JAYJIGGY ⬅️ 10% sparen! 💪🏻* JAY JIGGY auf Spotify: https://open.spotify.com/intl-de/artist/5FBdc4gwnj1x36cY9mlvUO?si=Qu7U8P1xRR-GhwsyMDxYnw RAPPEN lernen im GRÖßTEN DEUTSCHRAP-TUTORIAL: https://rap-tutorial.de/kaufen/ JAY JIGGY auf Twitch: https://www.twitch.tv/jayzumjiggy JIGGY REACTION 2025 Playlist: https://youtube.com/playlist?list=PL8060NNNgBIcc2I5BWOBwDCl7hl-hCj3t&si=901lI_Okk1Pk42KN JAY JIGGY auf Instagram: @jay.jiggy JAY JIGGY auf TikTok: @jayzumjiggy *Kommt über diesen Link ein Einkauf zustande, bekomme ich eine Provision. Für euch entstehen dabei natürlich KEINE Mehrkosten! | REACTION","jay jiggy,jay jiggy reaction,jiggy reaction,jiggy reaction 2025",10,Music,"Hip_hop_music,Music",PT9M13S,553,2d,hd,false,de,de,https://i.ytimg.com/vi/R3rEXKo04f4/maxresdefault.jpg,1,,,,4757,265,,0,38
3,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",CAlWPLWMTeA,2026-02-09T16:30:11Z,"2026-02-09 16:30:11","MIRACOLI FREESTYLE | REACTION","Originalvideo: https://youtu.be/QrT6uv-DHHI?si=7iXDGpesdK5bpGbP 🦁 Löwenanteil hier probieren und mit dem Code ➡️ JIGGY ⬅️ sparen: https://ins.deals/LoeweJiggy 🙌🏻* ⚡ HOLY Energy hier probieren: https://www.weareholy.com/jayjiggy/yt und mit dem Code ➡️ JAYJIGGY ⬅️ 10% sparen! 💪🏻* JAY JIGGY auf Spotify: https://open.spotify.com/intl-de/artist/5FBdc4gwnj1x36cY9mlvUO?si=Qu7U8P1xRR-GhwsyMDxYnw RAPPEN lernen im GRÖßTEN DEUTSCHRAP-TUTORIAL: https://rap-tutorial.de/kaufen/ JAY JIGGY auf Twitch: https://www.twitch.tv/jayzumjiggy JIGGY REACTION 2025 Playlist: https://youtube.com/playlist?list=PL8060NNNgBIcc2I5BWOBwDCl7hl-hCj3t&si=901lI_Okk1Pk42KN JAY JIGGY auf Instagram: @jay.jiggy JAY JIGGY auf TikTok: @jayzumjiggy *Kommt über diesen Link ein Einkauf zustande, bekomme ich eine Provision. Für euch entstehen dabei natürlich KEINE Mehrkosten! MIRACOLI FREESTYLE | REACTION","jay jiggy,jay jiggy reaction,jiggy reaction,jiggy reaction 2026,billa joe,billa joe reaction,jay jiggy billa joe,billa joe jay jiggy,billa joe miracoli freestyle,miracoli freestyle,miracoli freestyle reaction,billa joe miracoli freestyle reaction",10,Music,"Hip_hop_music,Music",PT17M36S,1056,2d,hd,false,de,de,https://i.ytimg.com/vi/CAlWPLWMTeA/maxresdefault.jpg,1,,,,6435,425,,0,44
4,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",BnBuil32FAU,2026-02-08T15:18:36Z,"2026-02-08 15:18:36","AYTEE - EXIL | REACTION","Originalvideo: https://youtu.be/SWJ9ttLAgu4?si=gJPWenpUSkx8TsDf 🦁 Löwenanteil hier probieren und mit dem Code ➡️ JIGGY ⬅️ sparen: https://ins.deals/LoeweJiggy 🙌🏻* ⚡ HOLY Energy hier probieren: https://www.weareholy.com/jayjiggy/yt und mit dem Code ➡️ JAYJIGGY ⬅️ 10% sparen! 💪🏻* JAY JIGGY auf Spotify: https://open.spotify.com/intl-de/artist/5FBdc4gwnj1x36cY9mlvUO?si=Qu7U8P1xRR-GhwsyMDxYnw RAPPEN lernen im GRÖßTEN DEUTSCHRAP-TUTORIAL: https://rap-tutorial.de/kaufen/ JAY JIGGY auf Twitch: https://www.twitch.tv/jayzumjiggy JIGGY REACTION 2025 Playlist: https://youtube.com/playlist?list=PL8060NNNgBIcc2I5BWOBwDCl7hl-hCj3t&si=901lI_Okk1Pk42KN JAY JIGGY auf Instagram: @jay.jiggy JAY JIGGY auf TikTok: @jayzumjiggy *Kommt über diesen Link ein Einkauf zustande, bekomme ich eine Provision. Für euch entstehen dabei natürlich KEINE Mehrkosten! AYTEE - EXIL | REACTION","jay jiggy,jay jiggy reaction,jiggy reaction,AYTEE - EXIL | REACTION,jiggy reaction 2026,aytee,aytee reaction,aytee exil,exil,exil aytee,aytee exil reaction,jay jiggy aytee,aytee jay jiggy,aytee exil jay jiggy",10,Music,"Hip_hop_music,Music",PT12M31S,751,2d,hd,false,de,de,https://i.ytimg.com/vi/BnBuil32FAU/maxresdefault.jpg,1,,,,5969,328,,0,49
5,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",MOy9oRlkgHE,2026-02-07T19:42:46Z,"2026-02-07 19:42:46","AHZUMJOT & LANCE BUTTERS - spiel gott | REACTION","Originalvideo: https://youtu.be/ikgGd89PhJ4?si=KEFtIjFltdyANcjV 🦁 Löwenanteil hier probieren und mit dem Code ➡️ JIGGY ⬅️ sparen: https://ins.deals/LoeweJiggy 🙌🏻* ⚡ HOLY Energy hier probieren: https://www.weareholy.com/jayjiggy/yt und mit dem Code ➡️ JAYJIGGY ⬅️ 10% sparen! 💪🏻* JAY JIGGY auf Spotify: https://open.spotify.com/intl-de/artist/5FBdc4gwnj1x36cY9mlvUO?si=Qu7U8P1xRR-GhwsyMDxYnw RAPPEN lernen im GRÖßTEN DEUTSCHRAP-TUTORIAL: https://rap-tutorial.de/kaufen/ JAY JIGGY auf Twitch: https://www.twitch.tv/jayzumjiggy JIGGY REACTION 2025 Playlist: https://youtube.com/playlist?list=PL8060NNNgBIcc2I5BWOBwDCl7hl-hCj3t&si=901lI_Okk1Pk42KN JAY JIGGY auf Instagram: @jay.jiggy JAY JIGGY auf TikTok: @jayzumjiggy *Kommt über diesen Link ein Einkauf zustande, bekomme ich eine Provision. Für euch entstehen dabei natürlich KEINE Mehrkosten! AHZUMJOT & LANCE BUTTERS - spiel gott | REACTION","jay jiggy,jay jiggy reaction,jiggy reaction,AHZUMJOT & LANCE BUTTERS - spiel gott | REACTION,jiggy reaction 2026",10,Music,"Hip_hop_music,Music",PT11M16S,676,2d,hd,false,de,de,https://i.ytimg.com/vi/MOy9oRlkgHE/maxresdefault.jpg,1,,,,7051,395,,0,52
6,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",l4BTmP41XTc,2026-02-06T16:14:12Z,"2026-02-06 16:14:12","Mucco - Istanbul | REACTION","Originalvideo: https://www.youtube.com/watch?v=-cMnnvkmp0U 🦁 Löwenanteil hier probieren und mit dem Code ➡️ JIGGY ⬅️ sparen: https://ins.deals/LoeweJiggy 🙌🏻* ⚡ HOLY Energy hier probieren: https://www.weareholy.com/jayjiggy/yt und mit dem Code ➡️ JAYJIGGY ⬅️ 10% sparen! 💪🏻* JAY JIGGY auf Spotify: https://open.spotify.com/intl-de/artist/5FBdc4gwnj1x36cY9mlvUO?si=Qu7U8P1xRR-GhwsyMDxYnw RAPPEN lernen im GRÖßTEN DEUTSCHRAP-TUTORIAL: https://rap-tutorial.de/kaufen/ JAY JIGGY auf Twitch: https://www.twitch.tv/jayzumjiggy JIGGY REACTION 2025 Playlist: https://youtube.com/playlist?list=PL8060NNNgBIcc2I5BWOBwDCl7hl-hCj3t&si=901lI_Okk1Pk42KN JAY JIGGY auf Instagram: @jay.jiggy JAY JIGGY auf TikTok: @jayzumjiggy *Kommt über diesen Link ein Einkauf zustande, bekomme ich eine Provision. Für euch entstehen dabei natürlich KEINE Mehrkosten! Mucco - Istanbul | REACTION","jay jiggy,jay jiggy reaction,jiggy reaction,mucco jay jiggy,mucco istanbul,mucco istanbul reaction,mucco reaction,mucco istanbul jay jiggy,jay jiggy mucco",10,Music,"Hip_hop_music,Music",PT11M54S,714,2d,hd,false,de,de,https://i.ytimg.com/vi/l4BTmP41XTc/maxresdefault.jpg,1,,,,11606,556,,0,31
7,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",sIQ7xTfdLq8,2026-02-05T17:10:23Z,"2026-02-05 17:10:23","GMMHZ - OUT NOW! ❤️‍🩹",jayjiggy.de,"jay jiggy,jay jiggy reaction,jiggy reaction,jiggy reaction 2025",10,Music,"Hip_hop_music,Music",PT28S,28,2d,hd,false,de,de,https://i.ytimg.com/vi/sIQ7xTfdLq8/maxresdefault.jpg,1,,,,4804,65,,0,4
8,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",pgBYW5lbptw,2026-02-05T17:00:07Z,"2026-02-05 17:00:07","JAY JIGGY - GIB MIR MEIN HERZ ZURÜCK (prod. by @inbeatables1 )","JAY JIGGY auf SPOTIFY: ⬇ https://open.spotify.com/intl-de/artist/5FBdc4gwnj1x36cY9mlvUO?si=MTaIhXC-T1yTfi54-GmSPQ 📝 TEXT 📝 : JAY JIGGY ➖ http://www.jayjiggy.de 🎥 VIDEO 🎥 : JAY JIGGY & SPOOFY 🎚️ BEAT 🎚️ : INBEATABLES ➖ Instagram: @inbeatables 🎛 MIX/MASTER 🎛 : ‪@spoofy_no1 ➖ Instagram: @spoofy_no1 ➖ https://SPOOFY.info (1:1 Coaching mit SPOOFY) #jayjiggy #gibmirmeinherzzurück JAY JIGGY - GIB MIR MEIN HERZ ZURÜCK (prod. by ⁨@inbeatables1 )","jay jiggy,jay jiggy reaction,jiggy reaction,jay jiggy gib mir mein herz zurück,gib mir mein herz zurück",10,Music,"Hip_hop_music,Music,Pop_music",PT2M53S,173,2d,hd,false,de,de,https://i.ytimg.com/vi/pgBYW5lbptw/maxresdefault.jpg,1,,,,26494,3240,,0,320
9,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",YbMwQ6mKYc0,2026-02-04T19:02:04Z,"2026-02-04 19:02:04","GIB MIR MEIN HERZ ZURÜCK 💔",jayjiggy.de,"jay jiggy,jay jiggy reaction,jiggy reaction,jiggy reaction 2025",10,Music,"Hip_hop_music,Music",PT25S,25,2d,hd,false,de,de,https://i.ytimg.com/vi/YbMwQ6mKYc0/maxresdefault.jpg,1,,,,5353,102,,0,10
10,UCbtvHiHZpmwUL_U7uBKO3jg,"Jay Jiggy",fyrUC7jp8o0,2026-02-03T16:43:25Z,"2026-02-03 16:43:25","Levin Liam - 24 | REACTION","Originalvideo: https://youtu.be/Y1-bUgjsh-U?si=01pl2tC_-ngLKnfd 🦁 Löwenanteil hier probieren und mit dem Code ➡️ JIGGY ⬅️ sparen: https://ins.deals/LoeweJiggy 🙌🏻* ⚡ HOLY Energy hier probieren: https://www.weareholy.com/jayjiggy/yt und mit dem Code ➡️ JAYJIGGY ⬅️ 10% sparen! 💪🏻* JAY JIGGY auf Spotify: https://open.spotify.com/intl-de/artist/5FBdc4gwnj1x36cY9mlvUO?si=Qu7U8P1xRR-GhwsyMDxYnw RAPPEN lernen im GRÖßTEN DEUTSCHRAP-TUTORIAL: https://rap-tutorial.de/kaufen/ JAY JIGGY auf Twitch: https://www.twitch.tv/jayzumjiggy JIGGY REACTION 2025 Playlist: https://youtube.com/playlist?list=PL8060NNNgBIcc2I5BWOBwDCl7hl-hCj3t&si=901lI_Okk1Pk42KN JAY JIGGY auf Instagram: @jay.jiggy JAY JIGGY auf TikTok: @jayzumjiggy *Kommt über diesen Link ein Einkauf zustande, bekomme ich eine Provision. Für euch entstehen dabei natürlich KEINE Mehrkosten! Levin Liam - 24 | REACTION","jay jiggy,jay jiggy reaction,jiggy reaction,jiggy reaction 2025",10,Music,"Hip_hop_music,Music",PT17M4S,1024,2d,hd,false,de,de,https://i.ytimg.com/vi/fyrUC7jp8o0/maxresdefault.jpg,1,,,,14602,641,,0,112
