position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC7XS_6tw2MRtImBZpTDmAfg,Kico,Pudvp8oRbYc,2026-02-09T14:51:05Z,"2026-02-09 14:51:05","Ich habe ein Fler Interview neu synchronisiert","Zusammen mit Maexses (manche kennen ihn vielleicht noch aus dem Ker Outro) habe ich schon vor Ewigkeiten random Videos neu synchronisiert. Hier bin ich auf ein Goldstück von vor 5 Jahren gestoßen, welches ich euch nicht vorenthalten möchte. 00:00 Hintergrund / Intro 02:03 Video ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by Kico ►Thumbnail by https://www.twitch.tv/maceveezy","Fler,Beastkitchen,Azad,Samy,Synchronisation,Lustig,Lachflash,Kico,Kico synchro,Kico Synchro,Kico lustig,Kico Reaction,funny,coldmirror",24,Entertainment,Lifestyle_(sociology),PT14M49S,889,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/Pudvp8oRbYc/maxresdefault.jpg,,,,,1172,84,,0,32
2,UC7XS_6tw2MRtImBZpTDmAfg,Kico,7SYSJY1bzeQ,2026-02-05T16:00:07Z,"2026-02-05 16:00:07","Meine schlimmste Battlerap Line? #deutschrap #perfecttiming #skandal","Ganz normaler Talk im WoW Sauercrowd Projekt @henkenbergen @vahnilly4931 ! ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by Kico ►Thumbnail by https://www.twitch.tv/maceveezy","Battlerap,Zeile,Firma,Lachflash,Kico,Henke,Vahnilly,lustig,battlerap,line,punchline,lacher,skandal,wow,sauercrowd,talk",24,Entertainment,"Action_game,Role-playing_video_game,Video_game_culture",PT51S,51,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/7SYSJY1bzeQ/maxresdefault.jpg,1,,,,6878,207,,0,18
3,UC7XS_6tw2MRtImBZpTDmAfg,Kico,CweApqNyrZg,2026-02-02T18:03:07Z,"2026-02-02 18:03:07","COMEBACK! Was kann BEASTBOY vs. SSYNIC?","Shoutout @DLTLLY @TJ_bb @SSYNIC13 für dieses Event! Alle haben abgeliefert. Wer reißt das gehypteste Battle an sich? ►Zum Original: https://youtu.be/q6vZn31er_8?si=aTWrNM6THGXaqR7S ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by Kico ►Thumbnail by https://www.twitch.tv/maceveezy","Beastboy,vs,Ssynic,Beastboy Ssynic,Dltlly,Kico,Kico Reaction,Kico SSynic,Kico Beastboy,Kico Beastboy Ssynic,Deutschrap,Hype,Battle,Bestes Deutschrap Battle,Rap,Kico reagiert",24,Entertainment,Humour,PT1H53M12S,3192,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/CweApqNyrZg/maxresdefault.jpg,1,,,,7372,339,,0,73
4,UC7XS_6tw2MRtImBZpTDmAfg,Kico,nWNCMYvlASM,2026-01-29T16:59:23Z,"2026-01-29 16:59:23","Aus den Lippen gereiert | DANKE","Danke an alle Supporter für das letzte Jahr! Weitermachen! ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by https://www.twitch.tv/lenaliebtpinguine ►Thumbnail by https://www.twitch.tv/maceveezy","Kico,Best Of,Kico Clips,Kico VBT,Kico Rap,Kico Reaction,Kico Lippen reiern,Lippen reiern,Rippen leiern,Wortspiele,Lustig,funny,lachen,Duzoe,Sierra Kidd,Miezeh",24,Entertainment,,PT13M59S,839,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/nWNCMYvlASM/maxresdefault.jpg,,,,,2049,135,,0,24
5,UC7XS_6tw2MRtImBZpTDmAfg,Kico,WMBG3g6uP78,2025-12-27T10:45:02Z,"2025-12-27 10:45:02","Das größte Twitch Projekt Deutschlands startet JETZT und ich bin mittendrin | Sauercrowd","Das Sauercrowd (World of Warcraft) Projekt startet heute! ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by Kico ►Thumbnail by https://www.twitch.tv/maceveezy","Kico,Sauercrowd,World of Warcraft,Papaplatte,Handofblood,Metashi,Hänno,WoW,Gaming,Wow Classic,Hardcore,Event,Information,Ansage,Kico Rap,Kico Battle",24,Entertainment,,PT2M13S,133,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/WMBG3g6uP78/maxresdefault.jpg,1,,,,2001,101,,0,16
6,UC7XS_6tw2MRtImBZpTDmAfg,Kico,obR4P6tAKRI,2025-12-21T17:08:02Z,"2025-12-21 17:08:02","VBT 2018 Qualis PART 5 (TALF, WANDELBARZ, SHERLY, ALINA AURORA, MPH) | KICO REACTION","Weiter gehts mit Qualifikationen fürs VBT 2018! ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by Kico ►Thumbnail by https://www.twitch.tv/maceveezy","Kico,VBT,VBT 2018,Qualis,Qualifikationen,VBT 18 Qualis,Kico Quali,Kico VBT,Kico VBT 2018,VBT 2018 KIco,VBT 18 Kico,rappersin,battlerap,battlerap reaction,kico reagiert,kico reaction,Talf,Wandelbarz,Sherly,Kico Talf,Battlerap,battle,deutschrap,Deutschrap",24,Entertainment,"Hip_hop_music,Music",PT39M17S,2357,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/obR4P6tAKRI/maxresdefault.jpg,1,,,,3691,140,,0,34
7,UC7XS_6tw2MRtImBZpTDmAfg,Kico,TFZXP_fBNHI,2025-12-20T12:59:06Z,"2025-12-20 12:59:06","Einfach der echte ausm VBT #vbt #kico #battlerap #deutschrap #twitchclips","Bist du der Battlerapper aus dem VBT? Der echte Kico? ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by Flu ►Thumbnail by https://www.twitch.tv/maceveezy","Kico,Battlerapper,Battlerap,VBT,Kico VBT,VBT Kico,Battle,rappersin,der echte,funny",24,Entertainment,"Hip_hop_music,Music",PT28S,28,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/TFZXP_fBNHI/maxresdefault.jpg,1,,,,16776,725,,0,54
8,UC7XS_6tw2MRtImBZpTDmAfg,Kico,mjI92hplUPw,2025-12-12T15:30:14Z,"2025-12-12 15:30:14","VBT 2018 Qualis PART 4 (MACE, ALKO, DIMA RICHMAN) + Kubis VBT 09 Quali | KICO REACTION","Weitere wunderschöne Qualis für das VBT 2018. ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by Kico ►Thumbnail by https://www.twitch.tv/maceveezy","Kico,VBT 2018,VBT 18,VBT Quali,VBT 18 Qualis,Alko,Dima Richman,Dima Richman VBT,Alko VBT,Kico reagiert,Kico Reaction,Reaktion,Battlerap,Deutschrap,rappersin,kico,vbt,vbt 18,vbt 2018,kico reagiert,battlerap,deutschrap",24,Entertainment,"Hip_hop_music,Music",PT18M38S,1118,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/mjI92hplUPw/maxresdefault.jpg,1,,,,3338,130,,0,32
9,UC7XS_6tw2MRtImBZpTDmAfg,Kico,MGl1tg5KWX0,2025-12-09T15:55:57Z,"2025-12-09 15:55:57","VBT 2018 Qualis PART 3 (TOMATEN MARK, GERD MCFLY, MC ZIRKEL, MR|BEAK, D€NV€R DON) | KICO REACTION","Wird ein buntes Turnier @rappersin ! ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by ►Thumbnail by https://www.twitch.tv/maceveezy","Kico,VBT,VBT 2018,Tomaten Mark,Kico Reaction,Kico VBT,Kico VBT 2018,VBT 18,VBT 18 KIco,Kico Tomatenmark,Battlerap,Deutschrap,Qualis,Qualifikation,Kico reagiert,battle,battlerap,rappersin,vbt",24,Entertainment,"Hip_hop_music,Music",PT17M54S,1074,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/MGl1tg5KWX0/maxresdefault.jpg,1,,,,3167,205,,0,37
10,UC7XS_6tw2MRtImBZpTDmAfg,Kico,nzTiWs9nLnE,2025-12-08T18:39:34Z,"2025-12-08 18:39:34","VBT 2018 Qualis PART 2 (SHLIIWA, BLEKTRO, MJM, NEKO, AALMANN) | KICO REACTION","@rappersin Das Turnier startet mit vielversprechenden Qualifikationen! ►Mehr Content auf Patreon: https://www.patreon.com/KicofQueens ►Gaming Kanal: https://www.youtube.com/channel/UClg4WDEuyM5Qvq7IOLH-CaQ ►Twitch: https://www.twitch.tv/kico ►Discord Joinen: https://discord.gg/9x58uYqFAZ KICO SOCIALS: ►Instagram: https://www.instagram.com/kicofqueens/ ►Tiktok: https://www.tiktok.com/@kicofqueens ►Spotify: http://spoti.fi/2n1BjrI ►KONTAKT / ANFRAGEN: kicostream@gmail.com ►Cut by Kico ►Thumbnail by https://www.twitch.tv/maceveezy","Kico,VBT,VBT 2018,VBT 2018 Qualis,VBT Quali,VBT 2018 Quali,Kico Reaction,Reaction,VBT Reaction,VBT 2018 Reaction,Kico reagiert,Neko,Blektro,Shliiwa,rappersin,MJM,VBT Shliiwa,VBT Neko,Battle,Battlerap,Deutschrap,Reaktion",24,Entertainment,"Hip_hop_music,Music",PT22M6S,1326,2d,hd,false,de-DE,de-DE,https://i.ytimg.com/vi/nzTiWs9nLnE/maxresdefault.jpg,1,,,,3416,184,,0,34
