position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,Z5TDEQ9yTaY,2024-12-11T17:00:07Z,"2024-12-11 17:00:07","Casper - Hin zur Sonne (Live in Bielefeld)","Hol dir jetzt das legendäre Konzert von Casper „Live in Bielefeld“ auf 3-fach Vinyl, Doppel-CD oder das ganze Konzert als Video-Stream. Das Live-Album „Live in Bielefeld“ erscheint am 13.12.2024. https://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo S O N G Der Song „Michael X (Live in Bielefeld)“ ist produziert und gemischt von Markus Ganter. https://www.instagram.com/markusganter Master von Robin Schmidt https://www.instagram.com/robin.schmidt.mastering V I D E O Produktion / Regie Live Recording: Chris Schwarz Produktion / Kamera: Elvin Buljubasic Live Regie: Yves Zosso Kamera: Anthony Molina, Björn Hoffmann, Jakob Marwein, Bernhard Russow, Montell Taraschewski, Paul Bading, Nadesha Hruska, Philippe Rebosz, Andreas Hampp, Fabian Pusch, Fabian Fritsch, Guiliano Fechner, Guntram Fröbel, Kevin Rehfeldt, Lars Fricke, Stefan Kallert, Stephan Börger, Tine Lenart Tonmeister: Tolga Yilmaz Technik: See You Rent P O S T - P R O D U C T I O N COAL Films GmbH https://www.instagram.com/coalthepolice #casper #live #bielefeld",,24,Entertainment,"Hip_hop_music,Music,Pop_music",PT3M18S,198,2d,hd,false,de,de,https://i.ytimg.com/vi/Z5TDEQ9yTaY/maxresdefault.jpg,1,,,,48133,1489,,0,66
2,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,Ct85xHCBgnw,2024-11-28T17:00:07Z,"2024-11-28 17:00:07","Casper - Hinterland (Live in Bielefeld)","Hol dir jetzt das legendäre Konzert von Casper „Live in Bielefeld“ auf 3-fach Vinyl, Doppel-CD oder das ganze Konzert als Video-Stream. Das Live-Album „Live in Bielefeld“ erscheint am 13.12.2024. https://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo S O N G Der Song „Michael X (Live in Bielefeld)“ ist produziert und gemischt von Markus Ganter. https://www.instagram.com/markusganter Master von Robin Schmidt https://www.instagram.com/robin.schmidt.mastering V I D E O Produktion / Regie Live Recording: Chris Schwarz Produktion / Kamera: Elvin Buljubasic Live Regie: Yves Zosso Kamera: Anthony Molina, Björn Hoffmann, Jakob Marwein, Bernhard Russow, Montell Taraschewski, Paul Bading, Nadesha Hruska, Philippe Rebosz, Andreas Hampp, Fabian Pusch, Fabian Fritsch, Guiliano Fechner, Guntram Fröbel, Kevin Rehfeldt, Lars Fricke, Stefan Kallert, Stephan Börger, Tine Lenart Tonmeister: Tolga Yilmaz Technik: See You Rent P O S T - P R O D U C T I O N COAL Films GmbH https://www.instagram.com/coalthepolice #casper #live #bielefeld",,24,Entertainment,"Hip_hop_music,Independent_music,Music,Pop_music",PT7M35S,455,2d,hd,false,de,de,https://i.ytimg.com/vi/Ct85xHCBgnw/maxresdefault.jpg,1,,,,162138,3506,,0,136
3,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,NRgedcUCBA8,2024-11-07T22:59:07Z,"2024-11-07 22:59:07","Casper - Michael X (Live in Bielefeld)","Hol dir jetzt das legendäre Konzert von Casper „Live in Bielefeld“ auf 3-fach Vinyl, Doppel-CD oder das ganze Konzert als Video-Stream. Das Live-Album „Live in Bielefeld“ erscheint am 13.12.2024. https://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo S O N G Der Song „Michael X (Live in Bielefeld)“ ist produziert und gemischt von Markus Ganter. https://www.instagram.com/markusganter Master von Robin Schmidt https://www.instagram.com/robin.schmidt.mastering V I D E O Produktion / Regie Live Recording: Chris Schwarz Produktion / Kamera: Elvin Buljubasic Live Regie: Yves Zosso Kamera: Anthony Molina, Björn Hoffmann, Jakob Marwein, Bernhard Russow, Montell Taraschewski, Paul Bading, Nadesha Hruska, Philippe Rebosz, Andreas Hampp, Fabian Pusch, Fabian Fritsch, Guiliano Fechner, Guntram Fröbel, Kevin Rehfeldt, Lars Fricke, Stefan Kallert, Stephan Börger, Tine Lenart Tonmeister: Tolga Yilmaz Technik: See You Rent P O S T - P R O D U C T I O N COAL Films GmbH https://www.instagram.com/coalthepolice #casper #live #bielefeld",,24,Entertainment,"Hip_hop_music,Music,Pop_music",PT4M17S,257,2d,hd,false,de,de,https://i.ytimg.com/vi/NRgedcUCBA8/maxresdefault.jpg,1,,,,229274,5248,,0,173
4,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,_5CqznH7yWQ,2024-10-11T16:00:07Z,"2024-10-11 16:00:07","Casper - Lass es Rosen für mich regnen feat. Provinz & Lena (Live in Bielefeld)","Hol dir jetzt das legendäre Konzert von Casper „Live in Bielefeld“ auf 3-fach Vinyl, Doppel-CD oder das ganze Konzert als Video-Stream. Das Live-Album „Live in Bielefeld“ erscheint am 13.12.2024. https://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo Mehr von LENA: https://www.instagram.com/lenameyerlandrut https://www.tiktok.com/@lenameyerlandrut @Lenameyerlandrut https://twitter.com/lenas_view https://www.facebook.com/lenameyerlandrut Mehr von PROVINZ: https://www.instagram.com/provinzband/ https://www.tiktok.com/@provinzmusik @Provinzband https://www.facebook.com/provinzband S O N G Der Song „Lass es Rosen für mich regnen feat. Provinz & Lena (Live in Bielefeld)“ ist produziert und gemischt von Markus Ganter. https://www.instagram.com/markusganter Master von Robin Schmidt https://www.instagram.com/robin.schmidt.mastering V I D E O Produktion / Regie Live Recording: Chris Schwarz Produktion / Kamera: Elvin Buljubasic Live Regie: Yves Zosso Kamera: Anthony Molina, Björn Hoffmann, Jakob Marwein, Bernhard Russow, Montell Taraschewski, Paul Bading, Nadesha Hruska, Philippe Rebosz, Andreas Hampp, Fabian Pusch, Fabian Fritsch, Guiliano Fechner, Guntram Fröbel, Kevin Rehfeldt, Lars Fricke, Stefan Kallert, Stephan Börger, Tine Lenart Tonmeister: Tolga Yilmaz Technik: See You Rent P O S T - P R O D U C T I O N COAL Films GmbH https://www.instagram.com/coalthepolice #casper #live #bielefeld",,24,Entertainment,"Hip_hop_music,Music,Pop_music",PT3M52S,232,2d,hd,false,de,de,https://i.ytimg.com/vi/_5CqznH7yWQ/maxresdefault.jpg,1,,,,204700,4824,,0,141
5,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,q7M4OzCyn9o,2023-11-23T17:00:09Z,"2023-11-23 17:00:09","Casper - luft holen (Official Video)","Die Single „luft holen“ jetzt überall hören: https://wmg.lnk.to/caspernurliebeimmer Das neue Album „nur liebe, immer.“ erscheint am 24.11.2023. Stell Dir jetzt Dein eigenes Bundle zusammen unter http://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo S O N G Die Single „luft holen“ ist produziert von nilly, DOKII, hardy x https://www.instagram.com/nillybo https://www.instagram.com/dokii.ddy/ https://www.instagram.com/edhardyboi14/ Mix: nilly https://www.instagram.com/nillybo/ Master: Lex Barkey https://www.instagram.com/lexbarkey/ V I D E O P R O D U K T I O N Das Video ist eine COAL Produktion coalfilms.de https://www.instagram.com/coalthepolice/ Regie: Chris Schwarz https://www.instagram.com/chrisschwarz/ DoP: Anthony Molina https://www.instagram.com/anthonymolina/ Produktions-Assistenz & Behind the Scenes: Jule Mehrhoff https://www.instagram.com/mh.jule/ 1. Kamera Assistenz: Julien Bauer https://www.instagram.com/juliens_journey/ Grip: Philippe Rebosz https://www.instagram.com/philipperebosz/ Grip & DIT: Elvin Buljubasic https://www.instagram.com/elvinbc/ P O S T - P R O D U C T I O N Edit: COAL Color Grading: Joakim Rissveds https://www.instagram.com/joakimriss/ S P E C I A L T H A N K S Christopher Heber Bjoern Dunne SeeYou Rent",,24,Entertainment,"Hip_hop_music,Music",PT2M47S,167,2d,hd,false,de,de,https://i.ytimg.com/vi/q7M4OzCyn9o/maxresdefault.jpg,1,,,,611057,13297,,0,376
6,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,mjdP83wNy7Y,2023-11-21T23:30:08Z,"2023-11-21 23:30:08","Casper - emma (Live bei @expertefueralles am 21.11.2023)","Die Single „emma (LNB Version)“ jetzt überall hören: https://wmg.lnk.to/emmalnb Das neue Album „nur liebe, immer.“ erscheint am 24.11.2023. Stell Dir jetzt Dein eigenes Bundle zusammen unter http://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo S O N G Die LNB Version von „emma“ ist arrangiert von Ralph Heidel https://www.instagram.com/ralph_heidel Mix & Master: Moritz Enders Chor: Ralph Heidel Jonathan Schmid Naomi Simmonds Lisa Harres Fernando Morales Meron Kubrom Evin V I D E O Executive Producer: Daniel Rauleder & Jakob Lundt Studio Regie: Frederik Schnitzler CvD: Lisa Griffey Director of Photography: Christian Ams Schnitt: Florian Mathy Licht: Markus Axmann Konzeption & Organisation: Jana Schippmann #casper #nurliebeimmer #latenightberlin #emma",,24,Entertainment,"Hip_hop_music,Music,Pop_music",PT4M24S,264,2d,hd,false,de,de,https://i.ytimg.com/vi/mjdP83wNy7Y/maxresdefault.jpg,1,,,,105988,3840,,0,148
7,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,WR1sLGKhjkM,2023-11-09T17:00:08Z,"2023-11-09 17:00:08","Casper - sowas von da (hellwach) (Official Video)","Die Single „sowas von da (hellwach)“ jetzt überall hören: https://wmg.lnk.to/caspernurliebeimmer Das neue Album „nur liebe, immer.“ erscheint am 24.11.2023. Stell Dir jetzt Dein eigenes Bundle zusammen unter http://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo S O N G Die Single „sowas von da (hellwach)“ ist produziert von nilly und t0biturnup https://www.instagram.com/nillybo https://www.instagram.com/t0biturnup Mix: nilly https://www.instagram.com/nillybo/ Master: Lex Barkey https://www.instagram.com/lexbarkey/ V I D E O P R O D U K T I O N Das Video ist eine Beat The Rich! & EKLAT Tonträger Produktion https://www.instagram.com/beattherich https://instagram.com/eklat_tontraeger Regie: Benjamin Griffey, Beat Gottwald, Casey Campbell DoP: Casey Campbell https://www.instagram.com/caseyinberlin Produktion: Beat Gottwald, Patrick von Strenge, Johanna Hanke, Emily Mae Walter Aufnahmeleitung: Katharina Adler 1. Kamera Assistenz: Jason Yanez https://www.instagram.com/tiger.yanez 2. Kamera Assistenz: Nestor Dan Carranza Oberbeleuchter: Ludwig Schulz https://www.instagram.com/luwigs Licht Assistenz: Kai Chase-Meares Licht Assistenz: Leon Set Design: Freia von Schwichow https://www.instagram.com/freialeonie Set Design Assistenz: Denise Wissmann Hair & Make-Up Artists via Team Nina Akalin Elena Marie Allritz https://instagram.com/elenamarie.mua Melissa Righi https://instagram.com/melissa.righi Styling: Max Jolivet https://instagram.com/maxjolivet Set Runner: Mabel Sue Walter Locations Flatliners https://flatliners.tv Verti Music Hall https://www.verti-music-hall.de Catering: Morsh Catering www.morsh.me Kamera Equipment von 25p https://www.25p.de Licht Equipment von GreenPoint Lighting https://www.instagram.com/greenpointlighting P O S T - P R O D U C T I O N Editor: Paul Broese https://www.instagram.com/paulbroese Color Grading: Mograde https://mograde.net S P E C I A L T H A N K S Main Cast: Lena Klenke https://www.instagram.com/lenaklenke Aischa Fingerhuth Alina Albrecht Andrew Glover Anne Breu Antonia Charlé Bela Thiessen Chang-Hua Yang Dirk Dreyer Finn Dudey Frank Leal Sato Gabriela Fretter Gerd Breu Gero von Freeden Gesa Herkenhoff Jojo Niedecken Jule Detlefsen Juna Charlé Kathrin Siebert Khoi Luong Knut Borowski Laura Henriette Plath Lily von Strenge Lisa Volz Lukas Schlautmann Luke Pighin Marie Becker Marie Herrmann Marlene Schlautmann Mattis Schmidt Mohamad Almustafa Niklas Falkenberg Nina Madea Peters Ole Kirchhoff Orhan Dogan Petra Elsässer-Kaminski Philipp Weiser Rüdiger Lehmann Sebastian Dudey Selina Bauer Teresa Pighin Theresa Lück Thomas Gabriel Stiegler Ute Gottwald",,24,Entertainment,"Electronic_music,Hip_hop_music,Music,Pop_music",PT2M31S,151,2d,hd,false,de,de,https://i.ytimg.com/vi/WR1sLGKhjkM/maxresdefault.jpg,1,,,,482027,10640,,0,386
8,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,mWCNdsO12aA,2023-09-07T21:59:08Z,"2023-09-07 21:59:08","Casper - echt von unten / zoé freestyle (Official Video)","Die Single „echt von unten / zoé freestyle“ jetzt überall hören: https://wmg.lnk.to/caspernurliebeimmer Das neue Album „nur liebe, immer.“ erscheint am 24.11.2023. Stell Dir jetzt Dein eigenes Bundle zusammen unter http://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo S O N G Die Single „echt von unten / zoé freestyle“ ist produziert von: nilly: https://www.instagram.com/nillybo/ BN: https://www.instagram.com/neveroldben/ Add. Production: Ralph Heidel: https://www.instagram.com/ralph_heidel/ Jonathan Schmid: https://www.instagram.com/jonathan__blumberg/ Mix: nilly https://www.instagram.com/nillybo/ Master: Lex Barkey https://www.instagram.com/lexbarkey/ V I D E O P R O D U K T I O N Das Video ist eine Beat The Rich! & EKLAT Tonträger Produktion https://www.instagram.com/beattherich https://instagram.com/eklat_tontraeger Regie: Benjamin Griffey, Beat Gottwald, Casey Campbell Creative Direction (Visuals): Paul Bröse https://www.instagram.com/paulbroese/ DoP: Casey Campbell https://www.instagram.com/caseyinberlin/ Produktion: Johanna Hanke, Emily Mae Walter, Beat Gottwald, Patrick von Strenge 1. Kamera Assistenz: Jason Yanez 2. Kamera Assistenz: Svenja Knaup Oberbeleuchter: Wiley Lighting (Christian Willi Rätsch): https://wiley.lighting Best Boy: Marco Niklas Binger Beleuchterin: Kim Loschiavone Set Design: F!NE Leipzig http://www.fine-leipzig.de Frank Reimann, Leoni Kiesewetter, Stefan Tiemann, Jirka Zemann Projektoren: GO4IT! https://go4it-online.com Operator Pixera Server: Dominik Hoffmann Projektionstechniker: Verlin Panzlaff Hair & Make-Up Artist: Elena Marie Allritz https://instagram.com/elenamarie.mua via team Nina Akalin https://www.instagram.com/ninaakalin/ Kamera Equipment von 25p https://www.25p.de Licht Equipment von CAMCAR https://www.camcar.de P O S T - P R O D U C T I O N Editor: Paul Bröse https://www.instagram.com/paulbroese/ Schnittassistenz: Thilo Swora https://www.instagram.com/tttthilo/ Color Grading: Mograde https://mograde.net V E R Y S P E C I A L T H A N K S DSC Arminia Bielefeld - Tim Placke, Daniel Müller, Pierre Grimme Henrik Wortmann Plan- B Bar Bielefeld - Katharina Friesen, Benjamin Stücke David Finke Levin Mertelsmann Annika Kiel Carolin Pilz Raphael Gutberlet Laura Marie Uffmann Robin Nebel Björn Uffmann Nick Dünholter Felix Ginkel Daniel Kestner Lisa Kestner Lena Stoltenberg Sarah Scharpenberg Sarah Jonek Andreas Drygala Tobias Koch Beverly Stoddart Jens Hargesheimer Dana Hargesheimer Sabrina Lauströer - Funke Marlon Schröter Malte Deejay Volker #casper #nli",,24,Entertainment,"Hip_hop_music,Music,Pop_music",PT3M13S,193,2d,hd,false,de,de,https://i.ytimg.com/vi/mWCNdsO12aA/maxresdefault.jpg,1,,,,455208,12036,,0,598
9,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,4Mwl7cBzMXA,2023-07-06T16:00:09Z,"2023-07-06 16:00:09","Casper X CRO - sommer (Official Video)","Die Single „sommer“ feat. CRO jetzt überall hören: https://wmg.lnk.to/caspernurliebeimmer Das neue Album „nur liebe, immer.“ erscheint am 24.11.2023. Stell Dir jetzt Dein eigenes Bundle zusammen unter http://www.casperxo.com Mehr von CASPER: https://instagram.com/xocasperxo https://twitter.com/CASPERxOFFICIAL https://facebook.com/casperxo https://www.tiktok.com/@xocasperxo Mehr von CRO: https://www.instagram.com/cro/ https://twitter.com/thisiscro https://www.facebook.com/cromusic https://www.tiktok.com/@thisiscro S O N G Die Single „sommer“ ist produziert von nilly und Hitimpulse https://www.instagram.com/nillybo/ https://www.instagram.com/hitimpulse/ Mix: nilly https://www.instagram.com/nillybo/ Master: Lex Barkey https://www.instagram.com/lexbarkey/ V I D E O P R O D U K T I O N Das Video ist eine Beat The Rich! & EKLAT Tonträger Produktion https://www.instagram.com/beattherich https://instagram.com/eklat_tontraeger Regie: Benjamin Griffey, Beat Gottwald, Casey Campbell DoP: Casey Campbell https://www.instagram.com/caseyinberlin Produktion: Beat Gottwald, Patrick von Strenge, Johanna Hanke, Emily Mae Walter Produktionsassistenz: Elly Song Aufnahmeleitung: Daniel „Späthi“ Späth Drone Company: upup.berlin https://www.instagram.com/upup.berlin Drone Pilot: Maximilian Raschke https://www.instagram.com/maximilian.raschke Drone Camera Operator: Robert Thürmann https://www.instagram.com/robertthuermann 1. Kamera Assistenz: Patricia Lewandowska Oberbeleuchter: Karim Rieg https://www.instagram.com/karim.rieg Hair & Make-Up Artists via Team Nina Akalin Simone Erl https://instagram.com/simone.erl Elena Marie Allritz https://instagram.com/elenamarie.mua Elouisa Kotterba https://instagram.com/makeupbyelouisa Artist Styling: Selina Bauer https://instagram.com/selina_4_you Vögel via Filmtierzentrale (Holger Kirk) Weselohs Tierleben (André Weseloh) Hands: Adelina Khader Christoph Bittl Flo Häuser Luca Nagel Mohammed ""Momo"" Khader Nane Kunstmann Robert Friedrichs Svenja Knaup Fotos: Philipp Gladsome P O S T - P R O D U C T I O N VFX: Korbinian Weber (WhitecloudsFX) https://www.instagram.com/instakaski Editor: Kurt Ipekkaya (silkrock) https://silkrock.de Color Grading: Mograde https://mograde.net S P E C I A L T H A N K S Carolin Ott Désirée Augenbach Elena Schöneberg Emily Neumann Emma Berk Geena Marie Handreg Heike Schulze Jan-Berend Klein Joaquin Ciccolella Jochen Stoffel Katrine Lihn Korbinian Weber Larissa Feindt Larissa Trippel Leon Gustav Emmert Luna Zlatoper Mattis Schmidt Marten Gransow Michl Lößl Nelleke Schmidt Niklas Falkenberg nilly Norma Ohse Peter Golm Robyn Gantke Sarah Schorlemmer Tabea Yener Tom Thaler Torben Hodan Vera Bunge Yasmin Seifert Zaja Clausnitzer V E R Y S P E C I A L T H A N K S Katja, Fiete, Andrew, Gabi, Ute, Mascha, Freke, Nele, Molli, Hartmut, Heber, Paul, Fedy, Dana, Jess & Charlie",,24,Entertainment,"Hip_hop_music,Music,Pop_music",PT2M55S,175,2d,hd,false,de,de,https://i.ytimg.com/vi/4Mwl7cBzMXA/maxresdefault.jpg,1,,,,968686,19037,,0,656
10,UCn-QU_wAkYXmtIbsqZyeuVA,officialcasperxo,wzVX6yjtKd4,2023-07-05T12:38:47Z,"2023-07-05 12:38:47","CASPER X CRO - sommer - die neue single und video ab MORGEN 18:00 Uhr überall!! 🌦️🌦️🌦️",,,24,Entertainment,"Hip_hop_music,Music",PT23S,23,2d,hd,false,de,de,https://i.ytimg.com/vi/wzVX6yjtKd4/maxresdefault.jpg,1,,,,33411,1751,,0,39
