position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,zkT6d0Dz474,2022-11-19T20:07:58Z,"2022-11-19 20:07:58","Jenemy - #Menschen, Voll (ticken) (prod. Ceno Limit)","Sonntag auf Spotify, Mini-Ep ""#Menschen, Voll"" https://www.instagram.com/jenemyy/?hl=de https://www.instagram.com/cenolimit/?hl=de www.jenemy.de","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,HR,Hinrunde,Viertel,Viertelfinale,4tel",24,Entertainment,"Hip_hop_music,Music",PT3M59S,239,2d,hd,false,de,de,https://i.ytimg.com/vi/zkT6d0Dz474/maxresdefault.jpg,1,,,,14848,519,,0,101
2,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,i2-AkilRniI,2022-02-23T19:00:12Z,"2022-02-23 19:00:12","1Battle Cup: Ergebnis Finale","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/ 00:00 Intro 00:13 Uservote 00:30 Jenny, Özge & Max 02:40 Andir 04:00 Shooter 05:46 Kryo 07:00 Quereinsteiger 08:05 Iven 09:50 Fishy 11:55 Jertheplayaa 13:33 Lordfranz 15:12 Lenniboy 16:18 Outro & Danksagungen","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,1Battle Cup,Finale,Bewertung,Ergebnis,Sieger,Neko,2Feels,Jury",24,Entertainment,,PT18M52S,1132,2d,hd,false,de,de,https://i.ytimg.com/vi/i2-AkilRniI/maxresdefault.jpg,1,,,,12648,347,,0,96
3,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,kszJOYG6Qns,2022-02-08T15:05:15Z,"2022-02-08 15:05:15","1Battle Cup: 2feels vs. Neko RR | Finale (prod. by oddboi)","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/ Vielen vielen Dank an die gesamte Community für fast sechs supergeile Jahre Battlerap - das war's für mich mit Battles! Danke für euren Support und fürs Zuschauen, ihr seid die geilsten Beat by oddboi: https://linktr.ee/oddboibeats Kauft TALF Shirts: https://www.talfshop.de/​​ Insight Job Facebook ►► http://bit.ly/2HBINsH​​​ Insight Job Channel abonnieren ►► http://bit.ly/2EhqcRS​ Lyrics: Dir gönnt hier keiner den Sieg junge heul mich nicht voll / bruder keiner hier schuldet dir deinen Erfolg / anstatt mich mal zu battlen sagst du hier im Ernst / dass man mich besser leiden kann - scheiße das schmerzt / dass ich bester bei Insight Job bin sagen manche seit 2018 / du bleibst ne Niete / die Stirn kannst du mir nur in einem bieten / du bist erster Platz im gegen Brian fliegen / du dachtest ich nenne mich Underdog wolltest das kontern / doch hast dein Glück verspielt / denn anders als du schlüpf ich nicht in die Rolle des Opfers / für bisschen Sympathie / aber red dir ruhig ein dass sich alle gegen dich verschworn ham / denn ziemlich sicher fiel / dir das leichter als zugeben müssen dass du hier verlorn hast / gegen Mr. Feels / (das bin ich) Gegen ne Runde so einfallslos wie deine werd ich hier sicher nicht verliern / ey der politisch korrekte Begriff den du suchst ist #GewinnerDesTurniers / Du hast mir das Texten beigebracht? Ey was ein lächerlicher Schwachsinn / jeder Vollidiot erkennt dass meine Texte von Markant sind / trifft mich jemand in der Nähe sind das safe nicht deine Punches / trifft dich jemand muss es sich um nen Privatlebenflexx handeln / Neko checkt dass bei ihm textlich nicht so lief / sagt zu oddboi einfach “fuck it alter wechsel schnell den Beat” (“wie bei 4tune”) / mein Gimmick Attraktivität, ich bin ein sehenswerter Mann / und Neko pickt einfach 4 Beats, ich meine jeder wie er kann / ey ich hab den Geb-nen-Fick-was-andre-denken-Swagger / aber mal im Ernst bro ""what are those"" an deinen Händen, deggah? (uiii) / ich peil grad nicht / wieso du meinst das ich / nicht nice kling / wenn da unter meinen Clips / jeder schreibt dass er meint dass ich klanglich bei weitem der geilste bin / du hast eigentlich / gegen Skypeboi gesagt dass das Haus verlassen für dich viel zu tryhard ist / und gegen mich fliegst du extra nach Köln da hat sich wohl jemand eingepisst / wie schaffst du’s so oft in deinen Parts / dir selbst zu widersprechen man ich hab keinen Plan / digga was ist deine Aussage / bin ich jetzt zu hässlich oder so hübsch / dass ich alle blende? / entscheid dich mal! / Du tust als wärst du hier die Eins / doch wirkst / als wärst du leicht überfordert / ich bring dir bei wie man in Minecraft Pferde zähmt / dass du sehn kannst wie ich dich ermorde / Ja ich kann gut mischen das weiß mittlerweile jeder / mischt dich jemand anders kanns sein dass der Beattag einfach fehlt, tja / Gruß an Reka / ey das ist das Finale / doch Neko bringt mit Autotune und Mische immer noch gleiche Thema / das ist Schnee von gestern heut bin ich der lebende Beweis / dass wenn man niemals aufgibt, weitermacht und stetig an sich feilt / hier alles schaffen kann; dein ausgelutschter Angle funktioniert nicht / der Rap geword’ne Fuckboi weil ich das ganze Turnier fick /","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,Finale,Rückrunde,RR,2feels,2feels vs. Neko,Neko,Insight Job",24,Entertainment,"Hip_hop_music,Music",PT2M26S,146,2d,hd,false,de,de,https://i.ytimg.com/vi/kszJOYG6Qns/maxresdefault.jpg,1,,,,24572,470,,0,67
4,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,tuo8gunmxtQ,2022-02-08T15:05:00Z,"2022-02-08 15:05:00","1Battle Cup: Neko vs. 2feels RR | Finale (prod. Leon Driesen & oddboi)","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/ Beat: oddboi & Leon Driesen: Instagram ►► https://instagram.com/oddboibeats/ https://instagram.com/biioeai/ YouTube ►► https://youtube.com/c/oddboibeats Video: Kevlaxer YouTube ►► https://youtube.com/channel/UCCVlf-XY... Instagram ►► https://instagram.com/kevlaxer_64/?hl=de Twitter ►► https://twitter.com/kevlaxer?s=09 Mix: Reka Instagram ►► https://instagram.com/quaderkopp/ YouTube ►► https://youtube.com/c/RekaWewo/videos","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,1Battle Cup,Rückrunde,RR,Finale,Neko,Neko vs. 2feels,2feels,Insight Job",24,Entertainment,"Electronic_music,Hip_hop_music,Music",PT3M7S,187,2d,hd,false,de,de,https://i.ytimg.com/vi/tuo8gunmxtQ/maxresdefault.jpg,1,,,,45269,789,,0,89
5,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,fBOIc549uLc,2022-01-04T15:00:16Z,"2022-01-04 15:00:16","1Battle Cup: Neko vs. 2feels HR | Finale (prod. by oddboi)","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/ Beat: oddboi Instagram ►► https://instagram.com/oddboibeats/ YouTube ►► https://youtube.com/c/oddboibeats Video: Kevlaxer YouTube ►► https://youtube.com/channel/UCCVlf-XY... Instagram ►► https://instagram.com/kevlaxer_64/?hl=de Twitter ►► https://twitter.com/kevlaxer?s=09 Mix: Reka Instagram ►► https://instagram.com/quaderkopp/ YouTube ►► https://youtube.com/c/RekaWewo/videos","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,HR,Hinrunde,Finale,Neko,2feels,Insight Job,Neko vs. 2feels",24,Entertainment,"Hip_hop_music,Music",PT2M15S,135,2d,hd,false,de,de,https://i.ytimg.com/vi/fBOIc549uLc/maxresdefault.jpg,1,,,,39055,867,,0,123
6,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,7Mv4nerZrC4,2022-01-04T15:00:13Z,"2022-01-04 15:00:13","1Battle Cup: 2feels vs Neko HR | Finale (prod. by Leon Driesen & oddboi)","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/ Beat by Leon Driesen: https://www.instagram.com/biioeai/ Beat by oddboi: https://linktr.ee/oddboibeats Kauft TALF Shirts: https://www.talfshop.de/​​ Insight Job Facebook ►► http://bit.ly/2HBINsH​​​ Insight Job Channel abonnieren ►► http://bit.ly/2EhqcRS​ Lyrics: Neko du hast es geschafft dieses Jahr endlich mal im Finale zu stehn mit Runden in denen du auf witzig machst dich arrogant über andre erhebst doch um zu begreifen dass das alles Show ist muss man dich persönlich noch nicht einmal kenn' denn um zu durchschauen was du für ein unsich’rer Wurm bist reicht schon deine Onlinepräsenz früher hattest du noch Psycho-Songs in denen du erklärst wie du Menschen in deim Keller fein zerstückelst und verzehrst in den Tracks geistig gestört und in den Battles warst du ernst ja du konntest ganz gut rappen doch Erfolg blieb dir verwehrt Es nagte an dir, jedes schlechte Feedback, jeder Zweifler bis der Wendepunkt schlussendlich mit dem Battle gegen Brian kam Es zerfrisst dich dass man seine funny Attitude mehr feiert also nimmst du einfach kurzerhand sein Style an Deshalb wirkt auch jede Runde dieses Jahr so aufgesetzt wie deine Mimik Völlig lächerlich wie alles was du heute machst ein Meme ist Jede Runde krampfhaft witzig sein mit konstruierten Lines das kein Kompliment wenn ich sag dass du komplett übertreibst und das tragischste daran ist dass du Trottel nicht mal peilst was die Community dir grade für nen Bärendienst erweist denn sie bestärken dich mit ihrem Feedback in der Heuchelei und du lernst nie dich zu verbessern weil verstellen ja schon reicht Ertränk deine Unsicherheiten in Bier deine Opfermentalität löst das bestimmt du bist Alkoholiker ohne scheiß Rückgrat du hast und du bist eine Fahne im Wind bro du machst jedem ein Feature der fragt alles für die Bestätigung sogar den wacksten der Welt eine ganze EP mit James Bondage und D-Nice dein Ernst man hast du kein Respekt vor dir selbst? ich sag es damit du’s verstehst in nem Meme bruder wir sind nicht gleich das hast du nicht gerafft Denn ich mach das 1battle unsicher während das 1battle dich unsicher macht triff dich mit zwei Homies und chill an ner Brücke dein Highlight der Woche ey was für ne Action mein Privatlebenflexx ist dass ich es nicht nötig hab online privates zu flexxen ich kann dich verstehn es tat mir auch weh damals als Yung Hiker doch ich bin mir immer treu geblieben auch wenns nicht ganz leicht war Bis ich ohne mich je zu verstellen die Runde hier erreicht hab doch dir Pussy fehlen um mal zu dir selbst zu stehen die Eier ich verdien bis heut mein Geld mit Programmieren und mit Minecraft und gebs offen zu, was juckt mich denn die Meinung von paar Neidern? du verstellst dich voll und ganz aber bis hierhin und nicht weiter Junge peils mal du bist leider als Persönlichkeit gescheitert in Battlerunden rappst du nur von oben herab doch dein Selbstbewusstsein gehört nur zur Show die du machst und damit täuschst du vielleicht ein paar Fans doch weißt dass das bei dein Homies nicht klappt das ist real life #zerstörung Eigentlich müsstest du wissen was du für ein geiler Typ bist Du bist gut genug und wirst geliebt auch ohne dieses Image Bro hör auf dich zu verstell'n es lohnt sich nie das zu versuchen hör nicht auf die Stimme die dir sagt dass du nicht gut genug bist Eyo scheiß auf dieses Battle scheiß auf Rap und auf das Preisgeld Alles was ich will ist dass du dich selbst liebst auch wenns nicht leicht ist und ich hoffe du erkennst wie diese Runde hier gemeint ist sei du selbst Bro du musst niemand was beweisen das ist Gang for Life","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,HR,Hinrunde,Finale,2feels,Neko,Insight Job,2feels vs. Neko",24,Entertainment,"Hip_hop_music,Music",PT2M57S,177,2d,hd,false,de,de,https://i.ytimg.com/vi/7Mv4nerZrC4/maxresdefault.jpg,1,,,,41890,737,,0,134
7,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,Kny0qmGKzec,2021-12-14T17:00:24Z,"2021-12-14 17:00:24","1Battle Cup: Info Finale // 2feels vs. Neko","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,HR,Hinrunde,Finale,2feels,Neko,Info,Infovideo",24,Entertainment,Hip_hop_music,PT1M7S,67,2d,hd,false,de,de,https://i.ytimg.com/vi/Kny0qmGKzec/maxresdefault.jpg,1,,,,5604,229,,0,69
8,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,zIptocJhTEs,2021-11-27T15:00:27Z,"2021-11-27 15:00:27","1Battle Cup: Skypeboi vs. Neko RR | Halbfinale","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/ Mix & Master: Lyrium https://www.instagram.com/lyrium666 https://twitter.com/Lyrium666 Rest: Ich warte - mit was kommst denn du um die ecke/ „du bist ein sprechender pulli“ und du ein sprechender dulli/ „doch du kannst ja nichmal baum aussprechen ey wie dumm“/ boah - dein humor so deutsch der braucht bei dir ne aufenthaltsgenehmigung/ boi in deiner runde war echt alles so wie sonst/ dass meine hinrunde dich kontert trifft den nagel auf den kopf/ und dann bringst du noch ein starter pack - du willst mich doch verarschen/ du holst noch mehr tote memes hoch als das jugendwort des jahres/ draußen drehen is tryhard? - wichtig und richtig/ ich mein beim öffnen meiner tür kam ich ja richtig ins schwitzen/ ich glaub du fühlst dein apartment zu doll/ du hockst am fenster und brüllst passanten an dass sie nich mehr tryharden sollen/ du kommst nich locker ins game du overactest jeden sketch/ unangenehm und auch gestellt als machst du grad ein nekotells/ und du frontest mein charakter ohne einen zu besitzen/ so profillos - du bist ein gesperrter name bei wer bin ich/ der pulli ist gelb - ja man korrekt/ was für ein kranker „ich bin nicht farbenblind“ - flex/ natürlich kann ich bei son dreck nur drüber steh'n/ wer sich in battles angegriffen fühlt hat ernsthafte probleme/ deine attitüde will mich punchen schlägt aber daneben/ und fragt komplett irritiert: „warum tut dir das nich weh?“/ übers ficken hab ich doch lange nich mehr gerappt/ du willst doch nur infos zu meinem privatlebensex/ dabei läuft bei dir doch auch - fragt ne frau gehen wir mal aus/ sagst du: „können wir auch discord? ich geh nich so gerne raus/ ironie als maximum spiegelt dich doch nur selbst/ comedy und ironie tragen dein ganzen text/ und dabei ist die art der formulierung nichmal deine eigene/ neko dein maximum is nur ein „how to be brian diamond“/","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,Halb,Halbfinale,Skypeboi,Neko,RR,Rückrunde",24,Entertainment,"Hip_hop_music,Humour,Music",PT1M34S,94,2d,hd,false,de,de,https://i.ytimg.com/vi/zIptocJhTEs/maxresdefault.jpg,1,,,,14699,398,,0,93
9,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,4NyfM4QLPJw,2021-11-27T15:00:04Z,"2021-11-27 15:00:04","1Battle Cup: Neko vs. Skypeboi RR | Halbfinale","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/ Mix by 2feels Video: Kevlaxer YouTube ►► https://youtube.com/channel/UCCVlf-XY6xBLzIOuD41yWCw Instagram ►► https://instagram.com/kevlaxer_64/?hl=de Twitter ►► https://twitter.com/kevlaxer?s=09 Neko Instagram ►► http://instagram.com/nekoundso Merch ►► https://www.talfshop.de/​ Insight Job Channel abonnieren ►► http://bit.ly/2EhqcRS​​","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,RR,Rückrunde,Halbfinale,Halb,Neko,Insight Job,Skypeboi",24,Entertainment,"Hip_hop_music,Music",PT1M35S,95,2d,hd,false,de,de,https://i.ytimg.com/vi/4NyfM4QLPJw/maxresdefault.jpg,1,,,,34057,732,,0,81
10,UC89sPNb4_OOsjVT_ZcGN-tg,rappers.in,my_1ThjjqBY,2021-11-26T15:00:22Z,"2021-11-26 15:00:22","1Battle Cup: XtraSchweiz vs. 2feels RR | Halbfinale","Discord: https://discord.gg/YcnkSNg 1Battle auf Instagram: https://instagram.com/1battle_de 1Battle auf TikTok: https://www.tiktok.com/@1battle_de 1Battle/VBT-Merch: https://1battle.de/merch-shop/ New Beats Website: https://free-beats.net/ Vielste Dänke an folgende tolle Männer und Männinnen: Reka für Mix/Master Dandy für Videocut Skypeboi für Kamera und Kameraführung Alinor für Handyhalten und Katzenbild Narru$ für Maskierung Deek und Suwhat für Text 2Feels für paar andere Dinge J-K-O für nichts Lyrics: Part Was sollte die erste Line ich glaube dass du dumm bist Wir sind nicht verwandt und waren nicht auf der gleichen Schule lööl Mann das geht doch besser angenommen dir sagt jemand ernsthaft ey komm morgen nicht zur Schule dann weil du aussiehst wie ein Vertretungslehrer Früher hatte ich noch peinliche Kostüme an Dann hab ich ne Weile normal ausgesehen und nenn das ganze Doubletime das Kind in mir ist schon gestorben das in dir ist nie geboren du wurdest großgezogen in nem Schachverein Ich hab das Gesicht von nem Kleinkind du das von ich weiß nicht mein Style bleibt gleich und ich zerreiß damit alles Zeit für nen Styleswitch sendest das mit Zuversicht ab Computer sagt WAS?! Du hast nicht zweimal dieselbe scheiß Runde gemacht du hast zweimal dieselbe SCHEIß Runde gemacht Du findest dass meine Kostüme nicht so cool sind okay ja aber du hast blöde Schuhe komm morgen nicht zur Schule Ich wirk als würd ich in meiner Freizeit menschliches Verhalten üben yeah du nicht andere Leute treffen ist ne gute Übung Wir bringen Werbung für Sternburg und du nur für Verhütung Wo bin ich denn monoton halt dein Maul du Huren... Hook ich hab von dir noch nicht mal was erwartet Und trotzdem enttäuschst du mich du Ladekabel Killah erzähl doch dass ich dich gelangweilt habe Doch den selben Front wie zwölf davor zu bringen das ist spannend 2Feels ist zwei Pappnasen und kann fast ein bisschen singen mach mal keine Ansagen wenn die Lines nach Pisse stinken ich hab geübt und schau dir tief in die Augen Doch pass auf dass du dich nicht gleich verliebst die sind blau (ich wurd gehauen)","VBT,rappers.in,1battle,Battle,Battlerap,Deutschrap,VBT 2021,RR,Rückrunde,Halbfinale,Halb,XtraSchweiz,Xtraherb,2feels",24,Entertainment,"Hip_hop_music,Music",PT1M34S,94,2d,hd,false,de,de,https://i.ytimg.com/vi/my_1ThjjqBY/maxresdefault.jpg,1,,,,11545,283,,0,77
